qid,Qid,P31,Lpt-br,Dpt-br,Den,P571,qal1319,qal1326,P17,P1259,qal2044,qal7787,qal8208,P170,P186,P195,P217,P2079,P4036,P2049,P2048,P7835
Q65620090,,Q125191,Vista do Pão de Açúcar,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.946092480782728/-43.141919699185436,13.51429618609447U11573,-100.7587511189315U28390,95.13099352600477U28390,Q4233718,Q11472,Q71989864,001AAN005121,Q172984,52.4U28390,14.1U174728,8.3U174728,79130
Q65620091,,Q125191,Ilha Fiscal,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.89495670882753/-43.166474361991405,8.102511493125151U11573,177.3869397196452U28390,100.66332204787201U28390,Q4233718,Q11472,Q71989864,001AAN005122,Q172984,52.57U28390,14.1U174728,8.3U174728,79131
Q65620092,,Q125191,Ilha das Cobras,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.894053697280675/-43.16600408229873,16.75328797217907U11573,-110.20315261972841U28390,95.93172885420864U28390,Q4233718,Q11472,Q71989864,001AAN005123,Q172984,39.86U28390,14.1U174728,8.3U174728,79132
Q65620093,,Q125191,Rua Primeiro de Março,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.90131225315465/-43.17648284623865,7.265995311836524U11573,147.639547938851U28390,98.73496785306259U28390,Q4233718,Q11472,Q71989864,001AAN005124,Q172984,50.1U28390,14.1U174728,8.3U174728,79133
Q65620094,,Q125191,Quartel Central do Corpo de Bombeiros,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.909437216158892/-43.18734464573042,13.01983957825501U11573,-161.9103279914069U28390,91.04268980049663U28390,Q4233718,Q11472,Q71989864,001AAN005125,Q172984,42.83U28390,14.1U174728,8.3U174728,79134
Q65620095,,Q125191,Quartel Central do Corpo de Bombeiros,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.9091139525844/-43.18754118085375,8.350554585871118U11573,-153.2831372563433U28390,95.03849811534685U28390,Q4233718,Q11472,Q71989864,001AAN005126,Q172984,50.0U28390,14.1U174728,8.3U174728,79135
Q65621321,,Q125191,Quartel Central do Corpo de Bombeiros,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.909038109/-43.187488242999954,14.98509510602951U11573,-174.58491021324767U28390,89.90999999999998U28390,Q4233718,Q11472,Q71989864,001AAN005127,Q172984,45.09U28390,14.1U174728,8.3U174728,79136
Q65620097,,Q125191,Fachada do Teatro Municipal,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.909584706326882/-43.176195524034036,10.02754260188891U11573,-35.72201899673007U28390,101.65126379504092U28390,Q4233718,Q11472,Q71989864,001AAN005128,Q172984,48.78U28390,14.1U174728,8.3U174728,79129
Q65620098,,Q125191,Palácio Monroe,Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.91158308900002/-43.17545030199999,8.861488055190225U11573,179.7630766094989U28390,105.65U28390,Q4233718,Q11472,Q71989864,001AAN005129,Q172984,51.79U28390,14.1U174728,8.3U174728,79137
Q65620099,,Q125191,"Palácio Amarelo, em primeiro plano o Chafariz da Águia.",Fotografia de Anônimo,Photograph by Anônimo,1910-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.50783609599084/-43.176668114787645,870.0111326407655U11573,-108.04974256322642U28390,95.9829129350983U28390,Q4233718,Q11472,Q71989864,001AAN005135,Q172984,36.02U28390,14.1U174728,8.3U174728,79138
