"gid","featuretyp","namecomple","nameshort","yearfirstd","yearlastdo","firstdispl","lastdispla","layer","tablename","globalid","geom","uploaddate","notes","nameabbrev","creator","firstowner","owner","occupant","address","scalerank","stylename"
424998,"Civil","Reduto da Prainha","Reduto",,,1650,1811,"BuildingsPoly",,"28c256c0-74a9-11e8-bd15-356431c8a804","0103000020E61000000100000005000000DB724C9B289745C0889B56E0AFE536C05E8816C0229745C0C50707E1B3E536C0B1ABD525249745C08AC8CAE5BAE536C000987C0C2A9745C01A91A097B6E536C0DB724C9B289745C0889B56E0AFE536C0",20180620,"24",,,,,,,0,"buildings"
424710,"Civil","Sede da SEAERJ","SEAERJ",,,1970,8888,"BuildingsPoly",,"288ceee0-74a9-11e8-bd15-356431c8a804","0103000020E610000001000000090000001B988FE96A9645C0BD0BFAA3A2EB36C0AAC785316B9645C089F0320AA7EB36C0EB497C4F649645C067EAD747A9EB36C0BE69B3B8649645C000824C89AEEB36C01E250686719645C07C5D23BDAAEB36C0FBBD881D719645C0715D9538A5EB36C0E8B675AB6E9645C0EE4F9AEAA5EB36C04316F85D6E9645C06E8C62C6A1EB36C01B988FE96A9645C0BD0BFAA3A2EB36C0",20180620,,,"The Rio de Janeiro City Improvements Company Limited",,,,"Rua do Russel, 1",0,"buildings"
425019,"Civil","Instituto Histórico e Geográfico Brasileiro","IHGB",,,1840,1959,"BuildingsPoly",,"28c67570-74a9-11e8-bd15-356431c8a804","0103000020E61000000100000009000000AB63B7F56A9645C0833703E64CE736C08BB35F8C5F9645C0AF489B0269E736C06B5BA43A639645C03B2F9FFF6DE736C024094C796D9645C0D138541B55E736C06DDF6D10779645C01189627660E736C0224BF8C07E9645C016C8224F69E736C063756F55809645C012C7E6E064E736C0E37BA1D8789645C0786836615CE736C0AB63B7F56A9645C0833703E64CE736C0",20180620,"16",,,"Carmelite Order",,,,0,"buildings"
425237,"Civil","Tesouro do Exército","Exército",,,1820,1830,"BuildingsPoly",,"28ee48c0-74a9-11e8-bd15-356431c8a804","0103000020E6100000010000000A0000004F5DA4BB859745C0AAC7BA35D7E736C0085E87608A9745C02E8934C0D9E736C00073FBBD8A9745C09BDC1E04D0E736C0323FEEA78B9745C06A031DA5B7E736C0B00E05BE869745C044FFA16EB4E736C065AE1AA8869745C03546D661B7E736C08B8CCE65869745C00BC0484EC0E736C04821232C869745C041FC7211C8E736C02B5DDB05869745C0BF478338CDE736C04F5DA4BB859745C0AAC7BA35D7E736C0",20180620,,,,,,,,0,"buildings"
425240,"Civil","Erário Público","Erário",,,1813,1819,"BuildingsPoly",,"28eebdf0-74a9-11e8-bd15-356431c8a804","0103000020E610000001000000080000001550BB13739745C0942C7B85B1E736C01A1497EF749745C0CB3D0DCAA8E736C00E370C74719745C0C87F1783A6E736C0B1FC8F5D709745C0C2C7FDCCA5E736C01716A755699745C04BA06A32C7E736C0C630C7E66D9745C0DDF7A1D5C9E736C093782805719745C00D99202FBBE736C01550BB13739745C0942C7B85B1E736C0",20180620,,,,,,,,0,"buildings"
424785,"Civil","Faculdade de Medicina Souza Marques","Medicina",,,1862,8888,"BuildingsPoly",,"289a3550-74a9-11e8-bd15-356431c8a804","0103000020E6100000010000000C000000D1E182C0AC9645C088C0876DD5EB36C0F1C72C64AB9645C026C6C3E1D5EB36C0986B7B3FAC9645C0771AE264DEEB36C0B8453E72A99645C0F99BD940DFEB36C0A2F6297FAB9645C03FA42D87F2EB36C06DE84381AD9645C07289A2C8F1EB36C05F824FB9AF9645C02C851EF6F0EB36C03B23A765AF9645C069DC49C5EDEB36C0240E81E3B09645C0D6945653EDEB36C09F5ECF61AF9645C0FC3DA5C7DFEB36C032754BE3AD9645C066C5424CE0EB36C0D1E182C0AC9645C088C0876DD5EB36C0",20180620,,,,,,,"Rua do Catete, 6",0,"buildings"
425020,"Civil","Universidade Cândido Mendes (UCAM)","UCAM",,,1960,8888,"BuildingsPoly",,"28c69c80-74a9-11e8-bd15-356431c8a804","0103000020E61000000100000009000000AB63B7F56A9645C0833703E64CE736C08BB35F8C5F9645C0AF489B0269E736C06B5BA43A639645C03B2F9FFF6DE736C024094C796D9645C0D138541B55E736C06DDF6D10779645C01189627660E736C0224BF8C07E9645C016C8224F69E736C063756F55809645C012C7E6E064E736C0E37BA1D8789645C0786836615CE736C0AB63B7F56A9645C0833703E64CE736C0",20180620,"16",,,"Carmelite Order",,,,0,"buildings"
425021,"Civil","Reduto de São Bento","Bento",,,1650,1749,"BuildingsPoly",,"28c6c390-74a9-11e8-bd15-356431c8a804","0103000020E610000001000000050000003830AF69BB9645C05A5DADA67FE536C02EF9199CBA9645C0AD6CC40787E536C0F02B7E24BF9645C0F4017EAB88E536C07B9646E1BF9645C05766785281E536C03830AF69BB9645C05A5DADA67FE536C0",20180620,"23",,,,,,,0,"buildings"
425060,"Religious","Capela de São Joaquim","São Joaquim",,,1758,1811,"BuildingsPoly",,"28cd2c30-74a9-11e8-bd15-356431c8a804","0103000020E6100000010000000500000003942F25949745C092C8A406CEE636C0854CBCDD8F9745C058AA95A1CAE636C0217B08D78E9745C0D4BE3604CFE636C069E78529939745C04DBDA95BD2E636C003942F25949745C092C8A406CEE636C0",20180620,"78",,,,,,,0,"buildings"
425061,"Religious","Igreja do Seminário de São Joaquim","São Joaquim",,,1812,1836,"BuildingsPoly",,"28cd5340-74a9-11e8-bd15-356431c8a804","0103000020E610000001000000050000006E0325DA979745C0A2809ABECBE636C0E70B70E4909745C04F8CF43EC6E636C0217B08D78E9745C0D4BE3604CFE636C09D8B9AEF959745C0284BA580D4E636C06E0325DA979745C0A2809ABECBE636C0",20180620,"78",,,,,,,0,"buildings"
