name,@lat/long
007A5P3F10-036,@-22.908844/-43.172967
002008AV022,@-22.919166/-43.177225
0071824cx019-09,@-22.901705/-43.173530
0072430cx028-01,@-22.901374/-43.173287
007Dscn4372,@-22.906548/-43.175465
014GL34,@-22.906817/-43.181936
014GL27,@-22.897512/-43.177959
007NGBMF2137cx014,@-22.906422/-43.174795
014GLAS042,@-22.921145/-43.175497
014GLAS101,@-22.902067/-43.176009
014AM003007,@-22.904006/-43.178046
002054VIAN014,@-22.987486/-43.194592
0071824cx036a-06,@-22.896694/-43.173797
001ACL019093,@-22.913521/-43.175805
014GLAS114verso,@-22.903506/-43.190586
007A5P3FG05-002,@-22.902796/-43.173469
014GLAS113frente,@-22.902737/-43.173493
001AN01002034,@-22.999999/-43.240959
001AN01002075,@-22.896159/-43.166867
014GLAS021,@-22.901275/-43.196256
001ACL017002,@-22.908247/-43.173719
014GLAS034,@-22.908344/-43.175753
014GLAS033,@-22.908209/-43.173441
014GLAS036,@-22.906149/-43.175551
014GL31,@-22.941471/-43.176445
014GL30,@-22.923713/-43.179535
014GL19,@-22.888172/-43.163378
014GL03-05,@-22.918164/-43.180885
014AM012035,@-22.925813/-43.176623
014IMS_014_81,@-22.917547/-43.194702
014GLAS112frente,@-22.902759/-43.173535
014AM008001,@-22.913641/-43.174915
014AM008002,@-22.937305/-43.173520
014AM008003,@-22.935165/-43.174341
014AM010003,@-22.905864/-43.171594
001ACL019030,@-22.900726/-43.196964
014GLAS112frente,@-22.902767/-43.173610
001ACL017022,@-22.970493/-43.280851
001ACL019004,@-22.895978/-43.174023
001ACL019009,@-22.900345/-43.194974
0071824cx038-12,@-22.945005/-43.196483
0071824cx046-02,@-22.929221/-43.181842
0071824cx046-05,@-22.942416/-43.150071
0071824cxrio3-01,@-22.935893/-43.132970
0072430cx010-03,@-22.908722/-43.187094
IMG_0210,@-22.906663/-43.173912
0072137cx012-04,@-22.900879/-43.195539
0073040cx014-02,@-22.909433/-43.179539
0073555cx006a007-02,@-22.903834/-43.201132
0073555cx006a007-06,@-22.900507/-43.194766
007A5P3F10-025,@-22.909649/-43.172543
007A5P3F10-054,@-22.902789/-43.172025
001AN01002004,@-22.935100/-43.194037
001AN01002005,@-22.934924/-43.194117
001AN01002011,@-22.922840/-43.188174
001AN01002012,@-22.922842/-43.188171
001ATK012003,@-22.909905/-43.171391
001ATK012004,@-22.910656/-43.172496
001ATK012005,@-22.911342/-43.173333
001ATK012006,@-22.908815/-43.170990
001ATK012007,@-22.908380/-43.170497
002057TP001,@-22.950937/-43.163652
002057TP002,@-22.951857/-43.210276
002057TP009-010,@-22.951850/-43.210025
002057TP008,@-22.990399/-43.222149
002057TP005,@-22.913992/-43.111060
002057TP006,@-22.967762/-43.223923
007A6P4FP15-015,@-22.950115/-43.191219
0072137cx016-11,@-22.918761/-43.177199
007NGBMF4050cx05-01,@-22.905108/-43.180242
0072430cx098-08,@-22.910046/-43.175833
007NGBMF2137cx16-02,@-22.919419/-43.181014
007NGBMF1530cx02-10,@-22.942857/-43.176259
002086AMF06,@-22.904478/-43.224218
0072137CX008-04,@-22.903064/-43.175186
0071824cx096b-05,@-22.913285/-43.181300
001AAN014011,@-22.956063/-43.168068
001ALA011006,@-22.950741/-43.158302
001ALA011001,@-22.911183/-43.175168
001ALA011002,@-22.910016/-43.175332
001ALA011003,@-22.904322/-43.178093
001ALA011005,@-22.950948/-43.164241
001ALA011012,@-22.945356/-43.193435
001ALA011014,@-22.949487/-43.156698
001ALA011016,@-22.942685/-43.175359
001ALA011020,@-22.909752/-43.175889
007A5P3F13-018,@-22.950920/-43.163175
001ALA011018,@-22.912043/-43.175603
CJHF4004,@-22.901047/-43.175140
CJHF9003,@-22.951885/-43.210217
013RJ012066,@-22.918423/-43.177873
013RJ009013,@-22.951854/-43.214724
013RJ012036,@-22.963272/-43.163592
013RJ012009,@-22.961587/-43.176631
013RJ016005,@-22.988923/-43.228108
013RJ012039,@-22.986262/-43.215877
013RJ006042,@-22.951817/-43.210442
013RJ002001,@-22.884110/-43.202261
013RJ001009,@-22.986784/-43.198543
013RJ001005,@-22.896965/-43.180030
013RJ001004,@-22.894799/-43.216690
014GL20,@-22.895845/-43.173002
007A6P4FP27-41,@-22.895996/-43.173727
007A5P3F05-015,@-22.907192/-43.182062
007A5P3F05-08,@-22.901986/-43.176286
007A5P3F05-06,@-22.905908/-43.175089
007SN-10,@-22.749372/-43.108718
007NGBMF4050cx05-01,@-22.904999/-43.180624
0071824cx070-10,@-22.904276/-43.179340
0071824cx019-08,@-22.901918/-43.176240
0071824cx067-01,@-22.903106/-43.172557
007AFAV09-21,@-22.904713/-43.180636
014GLAS111frente,@-22.904633/-43.180564
014GLAS109,@-22.902162/-43.175751
007A5P3FG05-003,@-22.907041/-43.182667
014GLAS107,@-22.906352/-43.182417
014GLAS090,@-22.911328/-43.180992
014GLAS111verso,@-22.927921/-43.183884
001AN01001001,@-22.942585/-43.176129
001MF014005,@-22.969204/-43.221943
001AN01001003,@-22.942577/-43.175772
001AN01001007,@-22.984602/-43.189941
001AN01001008,@-22.989663/-43.191102
001AN01001011,@-22.990921/-43.191363
001MF014001,@-22.951853/-43.210076
001MF014003,@-22.957463/-43.170321
001MF029014,@-22.890501/-43.208890
014GL03-01,@-22.918346/-43.181587
014GL03-02,@-22.907742/-43.174199
014GL04-01,@-22.896723/-43.171048
014GL04-02,@-22.901935/-43.176009
014AM001002,@-22.945182/-43.196538
014AM018001,@-22.951841/-43.210036
014AM012014,@-22.905142/-43.186288
014AM012034,@-22.909639/-43.175844
014AM012060,@-22.904428/-43.174391
014AM002011,@-22.940921/-43.182660
014AM012008,@-22.901710/-43.184415
014AM012064,@-22.911662/-43.175147
014AM012058,@-22.911972/-43.175875
014AM012017,@-22.909243/-43.175660
014AM002013,@-22.962836/-43.167391
014AAN005003,@-22.962275/-43.172391
014AAN005004,@-22.967267/-43.181715
014AAN005022,@-22.968960/-43.180502
014AAN005025,@-22.962031/-43.172355
014AAN012009,@-22.964054/-43.169256
014AAN005015,@-22.986171/-43.187923
001ACL019026,@-22.894212/-43.192728
007A5P3FG05-001,@-22.951008/-43.179065
007A5P3FG05-012,@-22.919820/-43.187303
007A5P3FG05-022,@-22.913948/-43.175592
007A5P4FP04-018,@-22.955974/-43.265297
007A5P4FP04-020,@-22.961138/-43.271921
014GL12,@-22.949003/-43.214505
0071824cx001-01,@-22.938539/-43.132636
0071824cx001-02,@-22.935165/-43.126459
0071824cx001-08,@-22.933761/-43.148829
0071824cx001-10,@-22.934488/-43.122602
0071824cx001-11,@-22.938849/-43.139604
0071824cx001-12,@-22.937941/-43.134925
0071824cx001-13,@-22.938271/-43.130250
0071824cx001-14,@-22.936745/-43.124754
0071824cx001-15,@-22.934765/-43.147381
0071824cx001-04,@-22.906622/-43.178745
0071824cx001-05,@-22.905875/-43.167735
0071824cx001-06,@-22.903709/-43.174717
0071824cx001-07,@-22.913763/-43.175839
0071824cx006-02,@-22.902927/-43.174632
0071824cx011-02,@-22.906563/-43.178787
0071824cx011-03,@-22.902709/-43.174525
0072430cx001-06,@-22.905013/-43.179517
P002SAm52-0047,@-22.909376/-43.171452
0071824cx084-09,@-22.905643/-43.183300
0071824cxrio2-03,@-22.906951/-43.172422
0072430cx044b-02,@-22.901948/-43.170213
0072430cx044b-05,@-22.897145/-43.174830
001AE001001,@-22.911100/-43.175209
001AM005001,@-22.910567/-43.171647
001AM010,@-22.910332/-43.176308
001ATK012010,@-22.911050/-43.175265
001RO002009,@-22.909172/-43.171865
001RO002023,@-22.904070/-43.174528
0072137cx001-11,@-22.907518/-43.207418
0072137cx001-08,@-22.910319/-43.179659
0072137cx005-02,@-22.922725/-43.178482
0072137cx005-07,@-22.922692/-43.178553
0072137cx005-09,@-22.937776/-43.189079
0072137cx006-02,@-22.907880/-43.181446
0072430cx046-12,@-22.947826/-43.217971
0073040cx005-05,@-22.897432/-43.197696
0074050cx005-03,@-22.904772/-43.177590
007A5P3F10-019,@-22.908015/-43.175845
007ALA065,@-22.919113/-43.173243
007A6P3F02-010,@-22.897068/-43.174931
001ATK012001,@-22.909860/-43.172033
001CC016002,@-22.910050/-43.172269
007CX189-03,@-22.909863/-43.172109
002080BR0203,@-22.916072/-43.175786
002080BR0212,@-22.905170/-43.177584
002080RJ0117,@-22.909556/-43.130522
002080RJ0114,@-22.908208/-43.129687
002080RJ1504,@-22.901908/-43.184183
002080RJ1709,@-22.905719/-43.169182
0071824cx017a-09,@-22.933105/-43.179890
0071824cx017a-10,@-23.006908/-43.303031
0071824cx092-05,@-22.896996/-43.177518
0071824cx063-09,@-22.908037/-43.129742
0071824cx063-06,@-22.913492/-43.131396
0071824cx067-04,@-22.935208/-43.201454
0071824cx067-05,@-22.943339/-43.115254
0071824cx111-02,@-22.905726/-43.120521
0071824cxrio3-02,@-22.908442/-43.130460
0071824cx101-11,@-22.905556/-43.132683
0071824cx098-06,@-22.846496/-43.104334
0071824cx093-03,@-22.806241/-43.120936
007A6P4FP27-02,@-22.951860/-43.210067
007A6P4FP27-46,@-22.900603/-43.196631
007CX021-06,@-22.950996/-43.163800
007_IMG_1816,@-22.969402/-43.221700
007_IMG_2472,@-22.969293/-43.221768
007_IMG_2525,@-22.969286/-43.221759
001CC013,@-22.893802/-43.218549
002080Vol02Cx0209,@-22.903935/-43.178022
007_IMG_2468,@-22.965777/-43.226628
007_IMG_2474,@-22.966431/-43.225713
002080RJN0324,@-22.897426/-43.175750
002080RJN0416,@-22.896872/-43.176883
002080RJN0422,@-22.895923/-43.174951
002080RJN0425,@-22.895965/-43.174890
002080RJN0427,@-22.896358/-43.176209
002080RJN0502,@-23.010784/-43.297093
002080RJN0503,@-22.997503/-43.263899
001ACL017006,@-22.904689/-43.180573
001ACL017018,@-22.959782/-43.193180
007ALA013,@-22.884114/-43.216603
001RO002039,@-22.897983/-43.165519
001AN25001003,@-22.914151/-43.175760
001AN02001004,@-22.920658/-43.176158
001RO002014,@-22.969055/-43.184633
001AN01002039,@-22.903544/-43.174484
001AN01002006,@-22.922934/-43.190464
001AN01002002,@-22.942167/-43.175762
001AN01002009,@-22.909533/-43.174313
001AN01002010,@-22.921605/-43.180977
001RO002025,@-22.904382/-43.188149
001RO002011,@-22.986051/-43.186174
014GLAS037,@-22.918554/-43.178988
014GLAS038,@-22.918501/-43.178909
014GLAS039,@-22.918587/-43.178834
014GLAS040,@-22.918234/-43.179217
014GLAS041,@-22.921285/-43.175247
014GLAS043,@-22.921510/-43.175344
014GLAS044,@-22.921475/-43.175434
014GLAS045,@-22.923992/-43.174321
014GLAS046,@-22.924033/-43.174506
014GLAS047,@-22.923965/-43.174625
007A5P3FG05-009,@-22.923750/-43.179076
014GLAS049,@-22.923811/-43.179535
014GLAS050,@-22.928797/-43.184382
014GLAS051,@-22.928667/-43.184853
014GLAS052,@-22.931752/-43.182698
014GLAS053,@-22.941622/-43.175042
014GLAS054,@-22.941125/-43.175219
014GLAS012,@-22.905363/-43.119529
014GLAS013,@-22.905405/-43.119708
014GLAS011,@-22.906560/-43.130685
014GLAS015,@-22.900429/-43.127756
001LE004001,@-22.895727/-43.173847
014GLAS023,@-22.900213/-43.196649
014GLAS024,@-22.900211/-43.196641
014GLAS025,@-22.900816/-43.196609
001ACL019030,@-22.900718/-43.196804
014GLAS028,@-22.894375/-43.193179
014GLAS113verso,@-22.906408/-43.190474
014GLAS112verso,@-22.930852/-43.182654
014GLAS027,@-22.893966/-43.193027
014GLAS077,@-22.972856/-43.207851
014GLAS076,@-22.972947/-43.208068
014MF014020,@-22.941116/-43.177817
014GL36,@-22.921272/-43.175276
014GL34,@-22.907160/-43.183827
014GL33,@-22.941506/-43.175522
014AM012063,@-22.905318/-43.180447
014AM012059,@-22.941396/-43.179154
014AM012057,@-22.924501/-43.183300
014AM012031,@-22.913535/-43.180523
014AM012013,@-22.938634/-43.172083
014AM008004,@-22.963938/-43.170186
014AM012070,@-22.953001/-43.188738
014AM012036,@-22.931314/-43.179616
014AM012032,@-22.905332/-43.178852
014GL29,@-22.906216/-43.189866
014AM010020,@-22.903605/-43.183579
014AM012037,@-22.896076/-43.181354
014AM012016,@-22.910756/-43.175270
014AM012041,@-22.904507/-43.174318
007_IMG_2353,@-22.901892/-43.176289
007_IMG_2836,@-22.918508/-43.177681
007_IMG_2837,@-22.917913/-43.178618
007_IMG_2839,@-22.949857/-43.181700
007_IMG_3651,@-22.915186/-43.190907
014AM005031,@-22.905458/-43.170584
014AM012075,@-22.930677/-43.178647
014AM016003,@-22.905610/-43.168009
014AM016002,@-22.954994/-43.167218
014AM016001,@-22.954233/-43.166212
014AM016005,@-22.949976/-43.180069
014AM019001,@-22.972611/-43.223974
014AM019005,@-22.973349/-43.224246
014AM019006,@-22.974067/-43.224186
014AM019007,@-22.973257/-43.223871
014AM019011,@-22.974272/-43.224575
014AM019015,@-22.975177/-43.225588
014AM019008,@-22.972193/-43.223217
014GL18,@-22.896603/-43.173758
014IMS_014_82,@-22.942999/-43.176026
014AM005026,@-22.905382/-43.171771
014AM005027,@-22.906401/-43.173811
014AM003009,@-22.622955/-43.704116
014AM005003,@-22.909599/-43.172446
0072430cx025-02,@-22.901905/-43.176283
0071824cx098-08,@-22.906155/-43.172486
0071824cx019-10,@-22.901407/-43.176536
