record_name,img_hd,img_sd,a
0071824cx001-01,/cloud/0071824cx001-01.jpg,https://raw.githubusercontent.com/imaginerio/situated-views/master/images/jpeg-sd/0071824cx001-01.jpg,
0071824cx001-02,/cloud/0071824cx001-02.jpg,https://raw.githubusercontent.com/imaginerio/situated-views/master/images/jpeg-sd/0071824cx001-02.jpg,
0071824cx001-04,/cloud/0071824cx001-04.jpg,https://raw.githubusercontent.com/imaginerio/situated-views/master/images/jpeg-sd/0071824cx001-04.jpg,
0071824cx001-05,/cloud/0071824cx001-05.jpg,https://raw.githubusercontent.com/imaginerio/situated-views/master/images/jpeg-sd/0071824cx001-05.jpg,
0071824cx001-06,/cloud/0071824cx001-06.jpg,https://raw.githubusercontent.com/imaginerio/situated-views/master/images/jpeg-sd/0071824cx001-06.jpg,
0071824cx001-07,/cloud/0071824cx001-07.jpg,https://raw.githubusercontent.com/imaginerio/situated-views/master/images/jpeg-sd/0071824cx001-07.jpg,
0071824cx001-08,/cloud/0071824cx001-08.jpg,https://raw.githubusercontent.com/imaginerio/situated-views/master/images/jpeg-sd/0071824cx001-08.jpg,
0071824cx001-09,/cloud/0071824cx001-09.jpg,https://raw.githubusercontent.com/imaginerio/situated-views/master/images/jpeg-sd/0071824cx001-09.jpg,
0071824cx001-10,/cloud/0071824cx001-10.jpg,https://raw.githubusercontent.com/imaginerio/situated-views/master/images/jpeg-sd/0071824cx001-10.jpg,
0071824cx001-11,/cloud/0071824cx001-11.jpg,https://raw.githubusercontent.com/imaginerio/situated-views/master/images/jpeg-sd/0071824cx001-11.jpg,
0071824cx001-12,/cloud/0071824cx001-12.jpg,https://raw.githubusercontent.com/imaginerio/situated-views/master/images/jpeg-sd/0071824cx001-12.jpg,
0071824cx001-13,/cloud/0071824cx001-13.jpg,https://raw.githubusercontent.com/imaginerio/situated-views/master/images/jpeg-sd/0071824cx001-13.jpg,
0071824cx001-14,/cloud/0071824cx001-14.jpg,https://raw.githubusercontent.com/imaginerio/situated-views/master/images/jpeg-sd/0071824cx001-14.jpg,
0071824cx001-15,/cloud/0071824cx001-15.jpg,https://raw.githubusercontent.com/imaginerio/situated-views/master/images/jpeg-sd/0071824cx001-15.jpg,
0071824cx003a-04,/cloud/0071824cx003a-04.jpg,https://raw.githubusercontent.com/imaginerio/situated-views/master/images/jpeg-sd/0071824cx003a-04.jpg,
0071824cx003a-05,/cloud/0071824cx003a-05.jpg,https://raw.githubusercontent.com/imaginerio/situated-views/master/images/jpeg-sd/0071824cx003a-05.jpg,
0071824cx003a-06,/cloud/0071824cx003a-06.jpg,https://raw.githubusercontent.com/imaginerio/situated-views/master/images/jpeg-sd/0071824cx003a-06.jpg,
0071824cx003a-09,/cloud/0071824cx003a-09.jpg,https://raw.githubusercontent.com/imaginerio/situated-views/master/images/jpeg-sd/0071824cx003a-09.jpg,
0071824cx004-01,/cloud/0071824cx004-01.jpg,https://raw.githubusercontent.com/imaginerio/situated-views/master/images/jpeg-sd/0071824cx004-01.jpg,
0071824cx004-02,/cloud/0071824cx004-02.jpg,https://raw.githubusercontent.com/imaginerio/situated-views/master/images/jpeg-sd/0071824cx004-02.jpg,
0071824cx004-04,/cloud/0071824cx004-04.jpg,https://raw.githubusercontent.com/imaginerio/situated-views/master/images/jpeg-sd/0071824cx004-04.jpg,
0071824cx004-05,/cloud/0071824cx004-05.jpg,https://raw.githubusercontent.com/imaginerio/situated-views/master/images/jpeg-sd/0071824cx004-05.jpg,
0071824cx006-01,/cloud/0071824cx006-01.jpg,https://raw.githubusercontent.com/imaginerio/situated-views/master/images/jpeg-sd/0071824cx006-01.jpg,
0071824cx006-02,/cloud/0071824cx006-02.jpg,https://raw.githubusercontent.com/imaginerio/situated-views/master/images/jpeg-sd/0071824cx006-02.jpg,
0071824cx006-03,/cloud/0071824cx006-03.jpg,https://raw.githubusercontent.com/imaginerio/situated-views/master/images/jpeg-sd/0071824cx006-03.jpg,
0071824cx006-04,/cloud/0071824cx006-04.jpg,https://raw.githubusercontent.com/imaginerio/situated-views/master/images/jpeg-sd/0071824cx006-04.jpg,
0071824cx006-12,/cloud/0071824cx006-12.jpg,https://raw.githubusercontent.com/imaginerio/situated-views/master/images/jpeg-sd/0071824cx006-12.jpg,
0071824cx006-13,/cloud/0071824cx006-13.jpg,https://raw.githubusercontent.com/imaginerio/situated-views/master/images/jpeg-sd/0071824cx006-13.jpg,
0071824cx006-14,/cloud/0071824cx006-14.jpg,https://raw.githubusercontent.com/imaginerio/situated-views/master/images/jpeg-sd/0071824cx006-14.jpg,
0071824cx006-15,/cloud/0071824cx006-15.jpg,https://raw.githubusercontent.com/imaginerio/situated-views/master/images/jpeg-sd/0071824cx006-15.jpg,
0071824cx006-16,/cloud/0071824cx006-16.jpg,https://raw.githubusercontent.com/imaginerio/situated-views/master/images/jpeg-sd/0071824cx006-16.jpg,
0071824cx007-01,/cloud/0071824cx007-01.jpg,https://raw.githubusercontent.com/imaginerio/situated-views/master/images/jpeg-sd/0071824cx007-01.jpg,
0071824cx007-02,/cloud/0071824cx007-02.jpg,https://raw.githubusercontent.com/imaginerio/situated-views/master/images/jpeg-sd/0071824cx007-02.jpg,
0071824cx007-03,/cloud/0071824cx007-03.jpg,https://raw.githubusercontent.com/imaginerio/situated-views/master/images/jpeg-sd/0071824cx007-03.jpg,
0071824cx007-04,/cloud/0071824cx007-04.jpg,https://raw.githubusercontent.com/imaginerio/situated-views/master/images/jpeg-sd/0071824cx007-04.jpg,
