0
Anônimo
Marc Ferrez
Georges Leuzinger
""
José dos Santos Affonso
Augusto Malta
N. Viggiani
Archanjo Sobrinho
J. Faria de Azevedo
F. Basto
Bloch
A. de Barros Lobo
F. Garcia
J. Teixeira
Chapelin
José Francisco Corrêa
Etienne Farnier
Antonio Luiz Ferreira
F. Manzière
Juan Gutierrez
Revert Henrique Klumb
Thiele
Carlos Bippus
Luiz Musso
Augusto Stahl
Theodor Preising
Torres
Therezio Mascarenhas
Alfredo Krausz
José Baptista Barreira Vianna
Albert Frisch
Guilherme Santos
A. Ruelle
Gomes Junior
Stahl & Wahnschaffe
Braz
Armando Pittigliani
Fritz Büsch
Camillo Vedani
Jorge Kfuri
Augusto Monteiro
S. H. Holland
