id,wikidata_id,wikidata_depicts,wikidata_image,wikidata_ims_id
001AAN005121,http://www.wikidata.org/entity/Q65620090,http://www.wikidata.org/entity/Q224101,,
001AAN005122,http://www.wikidata.org/entity/Q65620091,,,
001AAN005123,http://www.wikidata.org/entity/Q65620092,http://www.wikidata.org/entity/Q224101,,
001AAN005124,http://www.wikidata.org/entity/Q65620093,http://www.wikidata.org/entity/Q2946148,,
001AAN005125,http://www.wikidata.org/entity/Q65620094,,,
001AAN005126,http://www.wikidata.org/entity/Q65620095,,,
001AAN005127,http://www.wikidata.org/entity/Q65621321,,,
001AAN005128,http://www.wikidata.org/entity/Q65620097,http://www.wikidata.org/entity/Q4828121,,
001AAN005129,http://www.wikidata.org/entity/Q65620098,http://www.wikidata.org/entity/Q4828121,,
001AAN005135,http://www.wikidata.org/entity/Q65620099,http://www.wikidata.org/entity/Q2946148,,
001AAN005136,http://www.wikidata.org/entity/Q65620100,,,
001AAN005137,http://www.wikidata.org/entity/Q65620101,,,
001AAN005138,http://www.wikidata.org/entity/Q65621322,,,
001AAN005139,http://www.wikidata.org/entity/Q65621323,,,
001AAN005140,http://www.wikidata.org/entity/Q65621324,,,
001AAN005141,http://www.wikidata.org/entity/Q65621654,,,
001AAN005142,http://www.wikidata.org/entity/Q65620106,,,
001AAN005143,http://www.wikidata.org/entity/Q65620107,,,
001AAN005144,http://www.wikidata.org/entity/Q65620108,http://www.wikidata.org/entity/Q2946148,,
001AAN005145,http://www.wikidata.org/entity/Q65620109,,,
001AAN005146,http://www.wikidata.org/entity/Q65620110,,,
001AAN005147,http://www.wikidata.org/entity/Q65620111,http://www.wikidata.org/entity/Q224101,,
001AAN005148,http://www.wikidata.org/entity/Q65620112,http://www.wikidata.org/entity/Q224101,,
001AAN005149,http://www.wikidata.org/entity/Q65621326,http://www.wikidata.org/entity/Q224101,,
001AAN005150,http://www.wikidata.org/entity/Q65620114,,,
001AAN005151,http://www.wikidata.org/entity/Q65621327,http://www.wikidata.org/entity/Q224101,,
001AAN014010,http://www.wikidata.org/entity/Q65620116,,,
001AAN014011,http://www.wikidata.org/entity/Q65620117,http://www.wikidata.org/entity/Q203325,,
001AAN014012,http://www.wikidata.org/entity/Q65620118,http://www.wikidata.org/entity/Q10352795,,
001AAN014016,http://www.wikidata.org/entity/Q65620358,http://www.wikidata.org/entity/Q2946148,,
