id,wikidata_id,wikidata_ims_id,wikidata_image,wikidata_depict
001AAN005121,http://www.wikidata.org/entity/Q65620090,,,http://www.wikidata.org/entity/Q224101 Baía de Guanabara
001AAN005122,http://www.wikidata.org/entity/Q65620091,,,
001AAN005123,http://www.wikidata.org/entity/Q65620092,,,http://www.wikidata.org/entity/Q224101 Baía de Guanabara
001AAN005124,http://www.wikidata.org/entity/Q65620093,,,http://www.wikidata.org/entity/Q2946148 Centro
001AAN005125,http://www.wikidata.org/entity/Q65620094,,,
001AAN005126,http://www.wikidata.org/entity/Q65620095,,,
001AAN005127,http://www.wikidata.org/entity/Q65621321,,,
001AAN005128,http://www.wikidata.org/entity/Q65620097,,,http://www.wikidata.org/entity/Q4828121 Avenida Rio Branco
001AAN005129,http://www.wikidata.org/entity/Q65620098,,,http://www.wikidata.org/entity/Q4828121 Avenida Rio Branco
001AAN005135,http://www.wikidata.org/entity/Q65620099,,,http://www.wikidata.org/entity/Q2946148 Centro
001AAN005136,http://www.wikidata.org/entity/Q65620100,,,
001AAN005137,http://www.wikidata.org/entity/Q65620101,,,
001AAN005138,http://www.wikidata.org/entity/Q65621322,,,
001AAN005139,http://www.wikidata.org/entity/Q65621323,,,
001AAN005140,http://www.wikidata.org/entity/Q65621324,,,
001AAN005141,http://www.wikidata.org/entity/Q65621654,,,
001AAN005142,http://www.wikidata.org/entity/Q65620106,,,
001AAN005143,http://www.wikidata.org/entity/Q65620107,,,
001AAN005144,http://www.wikidata.org/entity/Q65620108,,,http://www.wikidata.org/entity/Q2946148 Centro
001AAN005145,http://www.wikidata.org/entity/Q65620109,,,
001AAN005146,http://www.wikidata.org/entity/Q65620110,,,
001AAN005147,http://www.wikidata.org/entity/Q65620111,,,http://www.wikidata.org/entity/Q224101 Baía de Guanabara
001AAN005148,http://www.wikidata.org/entity/Q65620112,,,http://www.wikidata.org/entity/Q224101 Baía de Guanabara
001AAN005149,http://www.wikidata.org/entity/Q65621326,,,http://www.wikidata.org/entity/Q224101 Baía de Guanabara
001AAN005150,http://www.wikidata.org/entity/Q65620114,,,
001AAN005151,http://www.wikidata.org/entity/Q65621327,,,http://www.wikidata.org/entity/Q224101 Baía de Guanabara
001AAN014010,http://www.wikidata.org/entity/Q65620116,,,
001AAN014011,http://www.wikidata.org/entity/Q65620117,,,http://www.wikidata.org/entity/Q203325 Praia Vermelha
001AAN014012,http://www.wikidata.org/entity/Q65620118,,,http://www.wikidata.org/entity/Q10352795 Praia de Icaraí
001AAN014013,http://www.wikidata.org/entity/Q97772679,,,
001AAN014015,http://www.wikidata.org/entity/Q97772680,,,
001AAN014016,http://www.wikidata.org/entity/Q65620358,,,http://www.wikidata.org/entity/Q2946148 Centro
001ACL017002,http://www.wikidata.org/entity/Q64214710,,,http://www.wikidata.org/entity/Q4902626 Convento do Carmo||http://www.wikidata.org/entity/Q56641197 Chafariz do Mestre Valentim||http://www.wikidata.org/entity/Q5997836 Ilha das Cobras||http://www.wikidata.org/entity/Q64578365 Igreja de São José||http://www.wikidata.org/entity/Q63413731 Hotel de France||http://www.wikidata.org/entity/Q3361206 Paço Imperial||http://www.wikidata.org/entity/Q10353359 Praça XV de Novembro||http://www.wikidata.org/entity/Q64363860 Alfândega do Rio de Janeiro||http://www.wikidata.org/entity/Q2942273 Igreja de Nossa Senhora do Monte do Carmo||http://www.wikidata.org/entity/Q10300293 Church of the Order Terceira do Carmo||http://www.wikidata.org/entity/Q2820360 Mosteiro de São Bento||http://www.wikidata.org/entity/Q9627844 Arco do Teles||http://www.wikidata.org/entity/Q64355145 Mercado Novo||http://www.wikidata.org/entity/Q64364849 Praia do Peixe
001ACL017006,http://www.wikidata.org/entity/Q65620119,,,http://www.wikidata.org/entity/Q12117134 Largo São Francisco
001ACL017018,http://www.wikidata.org/entity/Q65620120,,,
001ACL017022,http://www.wikidata.org/entity/Q65620121,,,http://www.wikidata.org/entity/Q14942956 Tijuca Forest
001ACL018001,http://www.wikidata.org/entity/Q97772692,,,
001ACL018002,http://www.wikidata.org/entity/Q97772694,,,
001ACL018003,http://www.wikidata.org/entity/Q97772693,,,
001ACL018004,http://www.wikidata.org/entity/Q65620122,,,
001ACL019001,http://www.wikidata.org/entity/Q97772929,,,
001ACL019003,http://www.wikidata.org/entity/Q97772930,,,
001ACL019004,http://www.wikidata.org/entity/Q65620123,,,http://www.wikidata.org/entity/Q5997836 Ilha das Cobras
001ACL019005,http://www.wikidata.org/entity/Q97772931,,,
001ACL019009,http://www.wikidata.org/entity/Q65620124,,,http://www.wikidata.org/entity/Q2946148 Centro
001ACL019014,http://www.wikidata.org/entity/Q97772932,,,
001ACL019026,http://www.wikidata.org/entity/Q65620125,,,http://www.wikidata.org/entity/Q3757943 Gamboa
001ACL019029,http://www.wikidata.org/entity/Q65620128,,,
001ACL019030,http://www.wikidata.org/entity/Q65620129,,,
001ACL019043,http://www.wikidata.org/entity/Q65620130,,,http://www.wikidata.org/entity/Q980992 Santa Teresa
001ACL019053,http://www.wikidata.org/entity/Q65620131,,,
001ACL019059,http://www.wikidata.org/entity/Q97772879,,,
001ACL019093,http://www.wikidata.org/entity/Q65620132,,,http://www.wikidata.org/entity/Q2946148 Centro
001AE001001,http://www.wikidata.org/entity/Q65621328,,,http://www.wikidata.org/entity/Q2946148 Centro
001AE001002,http://www.wikidata.org/entity/Q65620134,,,http://www.wikidata.org/entity/Q894624 Botafogo (Bairro)
001AE001003,http://www.wikidata.org/entity/Q97772920,,,
001AF001001,http://www.wikidata.org/entity/Q97772880,,,
001ALA011001,http://www.wikidata.org/entity/Q65620135,,,http://www.wikidata.org/entity/Q2946148 Centro
001ALA011002,http://www.wikidata.org/entity/Q65620136,,,http://www.wikidata.org/entity/Q579694 Cinelândia
001ALA011003,http://www.wikidata.org/entity/Q65620138,,,http://www.wikidata.org/entity/Q2946148 Centro
001ALA011004,http://www.wikidata.org/entity/Q97772735,,,
001ALA011005,http://www.wikidata.org/entity/Q65620139,,,http://www.wikidata.org/entity/Q203325 Praia Vermelha
001ALA011006,http://www.wikidata.org/entity/Q65620140,,,
001ALA011007,http://www.wikidata.org/entity/Q97772737,,,
001ALA011008,http://www.wikidata.org/entity/Q65620141,,,http://www.wikidata.org/entity/Q894624 Botafogo (Bairro)
001ALA011009,http://www.wikidata.org/entity/Q97772740,,,
001ALA011010,http://www.wikidata.org/entity/Q97772742,,,
001ALA011011,http://www.wikidata.org/entity/Q97772766,,,
001ALA011012,http://www.wikidata.org/entity/Q65620143,,,
001ALA011013,http://www.wikidata.org/entity/Q97772767,,,
001ALA011014,http://www.wikidata.org/entity/Q65620144,,,
001ALA011015,http://www.wikidata.org/entity/Q97772743,,,
001ALA011016,http://www.wikidata.org/entity/Q65621329,,,
001ALA011017,http://www.wikidata.org/entity/Q97772744,,,
001ALA011018,http://www.wikidata.org/entity/Q65621330,,,http://www.wikidata.org/entity/Q2946148 Centro
001ALA011019,http://www.wikidata.org/entity/Q97772745,,,
001ALA011020,http://www.wikidata.org/entity/Q65621331,,,http://www.wikidata.org/entity/Q2946148 Centro
001AM001001,http://www.wikidata.org/entity/Q97772545,,,
001AM002001,http://www.wikidata.org/entity/Q97772546,,,
001AM002002,http://www.wikidata.org/entity/Q97772547,,,
001AM003,http://www.wikidata.org/entity/Q97772804,,,
001AM004,http://www.wikidata.org/entity/Q97772805,,,
001AM005001,http://www.wikidata.org/entity/Q65620149,,,http://www.wikidata.org/entity/Q2946148 Centro
001AM005002,http://www.wikidata.org/entity/Q97772548,,,
001AM006,http://www.wikidata.org/entity/Q97772806,,,
001AM008,http://www.wikidata.org/entity/Q97772807,,,
001AM010,http://www.wikidata.org/entity/Q65620150,,,http://www.wikidata.org/entity/Q2946148 Centro
001AM011,http://www.wikidata.org/entity/Q97772808,,,
001AM012001,http://www.wikidata.org/entity/Q97772881,,,
001AM012002,http://www.wikidata.org/entity/Q97772809,,,
001AM012003,http://www.wikidata.org/entity/Q97772810,,,
001AM013,http://www.wikidata.org/entity/Q97772811,,,
001AM014001,http://www.wikidata.org/entity/Q97772921,,,
001AM014002,http://www.wikidata.org/entity/Q97772922,,,
001AMF013001,http://www.wikidata.org/entity/Q65620151,,,http://www.wikidata.org/entity/Q894624 Botafogo (Bairro)
001AMF013002,http://www.wikidata.org/entity/Q97772673,,,
001AMF013003,http://www.wikidata.org/entity/Q97772674,,,
001AMF013005,http://www.wikidata.org/entity/Q97772675,,,
001AMF013007,http://www.wikidata.org/entity/Q65620152,,,
001AMF013009,http://www.wikidata.org/entity/Q97772676,,,
001AMF013010,http://www.wikidata.org/entity/Q97772677,,,
001AMF015001,http://www.wikidata.org/entity/Q97772477,,,
001AMF015002,http://www.wikidata.org/entity/Q65621332,,,http://www.wikidata.org/entity/Q1532671 Glória
001AMF015006,http://www.wikidata.org/entity/Q65620153,,,
001AMF015008,http://www.wikidata.org/entity/Q97772478,,,
001AMF015015,http://www.wikidata.org/entity/Q65621333,,,
001AMF015016,http://www.wikidata.org/entity/Q65620366,,,
001AMF015020,http://www.wikidata.org/entity/Q97772479,,,
001AMF015022,http://www.wikidata.org/entity/Q65620154,,,
001AMF015024,http://www.wikidata.org/entity/Q97772480,,,
001AMF015025,http://www.wikidata.org/entity/Q65620367,,,
001AMF016001,http://www.wikidata.org/entity/Q65620368,,,http://www.wikidata.org/entity/Q1532671 Glória
001AMF016002,http://www.wikidata.org/entity/Q97772882,,,
001AMF016005,http://www.wikidata.org/entity/Q97772681,,,
001AMF016006,http://www.wikidata.org/entity/Q97772682,,,
001AMF016007,http://www.wikidata.org/entity/Q97772683,,,
001AMF016008,http://www.wikidata.org/entity/Q97772684,,,
001AMF016009,http://www.wikidata.org/entity/Q97772685,,,
001AMF016016,http://www.wikidata.org/entity/Q97772686,,,
001AMF016025,http://www.wikidata.org/entity/Q97772687,,,
001AMF016026,http://www.wikidata.org/entity/Q97772688,,,
001AMF016037,http://www.wikidata.org/entity/Q97772689,,,
001AMF016042,http://www.wikidata.org/entity/Q97772691,,,
001AN01001001,http://www.wikidata.org/entity/Q65620155,,,http://www.wikidata.org/entity/Q894624 Botafogo (Bairro)
001AN01001002,http://www.wikidata.org/entity/Q65620156,,,http://www.wikidata.org/entity/Q894624 Botafogo (Bairro)
001AN01001003,http://www.wikidata.org/entity/Q65620157,,,http://www.wikidata.org/entity/Q894624 Botafogo (Bairro)
001AN01001004,http://www.wikidata.org/entity/Q97772883,,,
001AN01001005,http://www.wikidata.org/entity/Q65620159,,,
001AN01001006,http://www.wikidata.org/entity/Q97772884,,,
001AN01001007,http://www.wikidata.org/entity/Q65620160,,,http://www.wikidata.org/entity/Q202730 Copacabana
001AN01001008,http://www.wikidata.org/entity/Q65620161,,,http://www.wikidata.org/entity/Q468540 Ipanema
001AN01001011,http://www.wikidata.org/entity/Q65620162,,,http://www.wikidata.org/entity/Q468540 Ipanema
001AN01001026,http://www.wikidata.org/entity/Q97772885,,,
001AN01001026t,http://www.wikidata.org/entity/Q97772933,,,
001AN01002001,http://www.wikidata.org/entity/Q65621334,,,
001AN01002002,http://www.wikidata.org/entity/Q65621335,,,
001AN01002003,http://www.wikidata.org/entity/Q65621336,,,
001AN01002006,http://www.wikidata.org/entity/Q65620166,,,
001AN01002007,http://www.wikidata.org/entity/Q65620372,,,http://www.wikidata.org/entity/Q2946148 Centro
001AN01002009,http://www.wikidata.org/entity/Q65620167,,,http://www.wikidata.org/entity/Q2946148 Centro
001AN01002010,http://www.wikidata.org/entity/Q65620168,,,http://www.wikidata.org/entity/Q1532671 Glória
001AN01002016,http://www.wikidata.org/entity/Q65620170,,,http://www.wikidata.org/entity/Q894624 Botafogo (Bairro)
001AN01002019,http://www.wikidata.org/entity/Q65620171,,,
001AN01002034,http://www.wikidata.org/entity/Q65620172,,,http://www.wikidata.org/entity/Q2540325 São Conrado
001AN01002039,http://www.wikidata.org/entity/Q65620173,,,http://www.wikidata.org/entity/Q2946148 Centro
001AN01002049,http://www.wikidata.org/entity/Q97772886,,,
001AN01002075,http://www.wikidata.org/entity/Q65621337,,,http://www.wikidata.org/entity/Q5997836 Ilha das Cobras
001AN02001001,http://www.wikidata.org/entity/Q97772549,,,
001AN02001004,http://www.wikidata.org/entity/Q65620175,,,http://www.wikidata.org/entity/Q1532671 Glória
001AN02001006,http://www.wikidata.org/entity/Q65620374,,,http://www.wikidata.org/entity/Q1532671 Glória
001AN25001001,http://www.wikidata.org/entity/Q97772510,,,
001AN25001003,http://www.wikidata.org/entity/Q63986260,,,http://www.wikidata.org/entity/Q210722 Pão de Açúcar||http://www.wikidata.org/entity/Q22031111 Morro da Viuva||http://www.wikidata.org/entity/Q5457206 Aterro do Flamengo
001AN29001003,http://www.wikidata.org/entity/Q65620375,,,http://www.wikidata.org/entity/Q1532671 Glória
001AN30001001,http://www.wikidata.org/entity/Q65620176,,,http://www.wikidata.org/entity/Q894624 Botafogo (Bairro)
001AN31001001,http://www.wikidata.org/entity/Q65620177,,,http://www.wikidata.org/entity/Q10352741 Enseada de Botafogo
001AN37001,http://www.wikidata.org/entity/Q65620178,,,http://www.wikidata.org/entity/Q10352741 Enseada de Botafogo
001ANV022001,http://www.wikidata.org/entity/Q65620179,,,
001ANV022002,http://www.wikidata.org/entity/Q97772650,,,
001ANV022003,http://www.wikidata.org/entity/Q97772651,,,
001ANV022004,http://www.wikidata.org/entity/Q97772652,,,
001ANV022005,http://www.wikidata.org/entity/Q97772653,,,
001ANV022006,http://www.wikidata.org/entity/Q97772654,,,
001ANV022007,http://www.wikidata.org/entity/Q97772656,,,
001ANV022008,http://www.wikidata.org/entity/Q97772657,,,
001ANV022009,http://www.wikidata.org/entity/Q97772658,,,
001ANV022010,http://www.wikidata.org/entity/Q97772659,,,
001ANV022011,http://www.wikidata.org/entity/Q97772660,,,
001ANV022012,http://www.wikidata.org/entity/Q97772661,,,
001ANV022013,http://www.wikidata.org/entity/Q97772662,,,
001ANV022014,http://www.wikidata.org/entity/Q97772663,,,
001ANV022015,http://www.wikidata.org/entity/Q97772664,,,
001ANV022016,http://www.wikidata.org/entity/Q65620180,,,
001ANV022017,http://www.wikidata.org/entity/Q97772665,,,
001ANV022018,http://www.wikidata.org/entity/Q97772666,,,
001ANV022019,http://www.wikidata.org/entity/Q97772667,,,
001ANV022020,http://www.wikidata.org/entity/Q97772668,,,
001ANV022021,http://www.wikidata.org/entity/Q65620182,,,
001ANV022022,http://www.wikidata.org/entity/Q97772669,,,
001ANV022023,http://www.wikidata.org/entity/Q97772670,,,
001ANV022024,http://www.wikidata.org/entity/Q65620183,,,http://www.wikidata.org/entity/Q894624 Botafogo (Bairro)
001AS001002,http://www.wikidata.org/entity/Q65620376,,,http://www.wikidata.org/entity/Q1532671 Glória
001ATK012001,http://www.wikidata.org/entity/Q97772746,,,
001ATK012002,http://www.wikidata.org/entity/Q97772747,,,
001ATK012003,http://www.wikidata.org/entity/Q97772748,,,
001ATK012004,http://www.wikidata.org/entity/Q97772749,,,
001ATK012005,http://www.wikidata.org/entity/Q97772750,,,
001ATK012006,http://www.wikidata.org/entity/Q97772751,,,
001ATK012007,http://www.wikidata.org/entity/Q97772752,,,
001ATK012008,http://www.wikidata.org/entity/Q97772753,,,
001ATK012009,http://www.wikidata.org/entity/Q97772754,,,
001ATK012010,http://www.wikidata.org/entity/Q65620184,,,http://www.wikidata.org/entity/Q2946148 Centro
001ATK012011,http://www.wikidata.org/entity/Q97772755,,,
001ATK012012,http://www.wikidata.org/entity/Q97772756,,,
001ATK012013,http://www.wikidata.org/entity/Q97772757,,,
001ATK012014,http://www.wikidata.org/entity/Q97772758,,,
001ATK012015,http://www.wikidata.org/entity/Q97772759,,,
001ATK012016,http://www.wikidata.org/entity/Q97772760,,,
001ATK012017,http://www.wikidata.org/entity/Q97772671,,,
001ATK012018,http://www.wikidata.org/entity/Q97772765,,,
001ATK012019,http://www.wikidata.org/entity/Q97772761,,,
001ATK012020,http://www.wikidata.org/entity/Q97772672,,,
001ATK012021,http://www.wikidata.org/entity/Q97772762,,,
001ATK012022,http://www.wikidata.org/entity/Q97772763,,,
001ATK012023,http://www.wikidata.org/entity/Q97772764,,,
001ATK012024,http://www.wikidata.org/entity/Q65620185,,,http://www.wikidata.org/entity/Q10352741 Enseada de Botafogo
001BA003007,http://www.wikidata.org/entity/Q65620377,,,
001BO001001,http://www.wikidata.org/entity/Q65620186,,,http://www.wikidata.org/entity/Q894624 Botafogo (Bairro)
001CC003004,http://www.wikidata.org/entity/Q97772550,,,
001CO001005,http://www.wikidata.org/entity/Q65620378,,,http://www.wikidata.org/entity/Q1532671 Glória
001FM001001,http://www.wikidata.org/entity/Q65620379,,,http://www.wikidata.org/entity/Q1532671 Glória
