name,lat,long,height,heading,tilt,fov
007Dscn4372,-22.906548,-43.175465,74.02,46.94,86.48,48.2
014GL34,-22.906817,-43.181936,18.76,-94.34,80.93,71.8
014GL27,-22.897512,-43.177959,36.58,125.94,81.11,57.6
001ALA011006,-22.950741,-43.158302,356.88,-126.49,85.74,50
001ALA011001,-22.911183,-43.175168,47.60,-175.68,94.68,50
001ALA011002,-22.910016,-43.175332,15.36,-45.81,90.71,50
001ALA011003,-22.904322,-43.178093,30.20,-1.97,91.94,50
001ALA011005,-22.950948,-43.164241,227.90,75.98,93.47,50
001ALA011012,-22.945356,-43.193435,299.84,89.92,84.94,50
001ALA011014,-22.949487,-43.156698,415.36,-88.29,88.58,50
001ALA011016,-22.942685,-43.175359,47.25,-110.40,93.59,50
001ALA011020,-22.909752,-43.175889,11.55,-32.85,102.21,50
007A5P3F13-018,-22.950920,-43.163175,227.19,61.37,97.43,50
001ALA011018,-22.912043,-43.175603,10.80,-6.42,102.10,50
CJHF4004,-22.901047,-43.175140,140.06,153.37,84.99,50
CJHF9003,-22.951885,-43.210217,715.21,-112.79,84.80,50
007A6P4FP15-015,-22.950115,-43.191219,26.87,-99.40,94.52,50
0072137cx016-11,-22.918761,-43.177199,43.52,137.31,86.30,50
0072430cx098-08,-22.910046,-43.175833,9.70,-23.75,96.24,50
007NGBMF2137cx16-02,-22.919419,-43.181014,92.94,145.83,86.92,50
007NGBMF1530cx02-10,-22.942857,-43.176259,27.78,-113.21,92.28,51
002086AMF06,-22.904478,-43.224218,59.03,-125.71,88.17,50
0072137CX008-04,-22.903064,-43.175186,29.06,81.61,84.72,50
0071824cx096b-05,-22.913285,-43.181300,35.75,103.28,78.14,50
007A5P3F10-036,-22.908844,-43.172967,77.54,-150.09,83.70,42.2
002008AV022,-22.919166,-43.177225,52.26,131.32,82.80,38
013RJ012066,-22.918423,-43.177873,60.32,138.68,82.39,44
013RJ009013,-22.951854,-43.214724,779.51,89.67,80.23,22.6
013RJ012036,-22.963272,-43.163592,121.29,-76.78,79.74,50
013RJ012009,-22.961587,-43.176631,75.86,-154.68,85.23,31.8
013RJ016005,-22.988923,-43.228108,26.13,73.53,84.43,50.8
013RJ012039,-22.986262,-43.215877,10.98,-98.89,87.20,50
