id,first_year,last_year,geometry
014AM019015,1926-01-01,1926-01-01,"POLYGON ((-43.22558839595863 -22.97517681707034, -43.22417994658015 -22.97182138831744, -43.22382950942201 -22.97196464632883, -43.22349601009889 -22.97213883865991, -43.22318266024096 -22.97234228785928, -43.22289247748009 -22.97257303472723, -43.22262825639214 -22.97282885717898, -43.22239254158538 -22.97310729163942, -43.2221876031939 -22.97340565676354, -43.22201541501224 -22.97372107925418, -43.22187763548184 -22.97405052152879, -43.22185674872458 -22.97411061730216, -43.22558839595863 -22.97517681707034))"
014AM019013,1921-01-01,1931-01-01,"POLYGON ((-43.22431973099999 -22.97341075300002, -43.226571173138 -22.97816368863007, -43.22706634889667 -22.97793762432293, -43.22753507057376 -22.97766796254031, -43.22797282385592 -22.97735730052499, -43.2283753927845 -22.97700863039361, -43.22873890036352 -22.97662531031042, -43.22905984589866 -22.97621103213562, -43.22933513870766 -22.97576978585998, -43.22956212787772 -22.97530582116891, -43.22973862778331 -22.97482360650628, -43.22986293911949 -22.9743277860328, -43.22993386524842 -22.97382313489372, -43.22995119439748 -22.97334165975574, -43.22431973099999 -22.97341075300002))"
014AM019011,1926-01-01,1926-01-01,"POLYGON ((-43.22457478923116 -22.97427204517407, -43.22508820516283 -22.97070595623129, -43.22470609126646 -22.97067679556308, -43.22432271296029 -22.97068225819573, -43.22394176209363 -22.97072229152525, -43.22356690714557 -22.97079651003927, -43.22320175790663 -22.97090419902845, -43.22284983072468 -22.97104432146747, -43.22251451464983 -22.97121552799909, -43.22219903880372 -22.97141616992543, -43.22190818524748 -22.97164281486214, -43.22457478923116 -22.97427204517407))"
014AM019010,1921-01-01,1931-01-01,"POLYGON ((-43.22415666830644 -22.97493888545244, -43.22794782535538 -22.97580919473679, -43.22802222041255 -22.97546288257881, -43.22805938765831 -22.97511152447169, -43.22805896943979 -22.97475850421212, -43.22802097007828 -22.97440722157787, -43.22794575581619 -22.9740610595861, -43.22783405127894 -22.97372335191399, -43.22768693248601 -22.97339735079572, -43.2275058164789 -22.97308619570448, -43.22733006596103 -22.97284027980986, -43.22415666830644 -22.97493888545244))"
014AM019009,1926-01-01,1926-01-01,"POLYGON ((-43.22455540365342 -22.97411716781812, -43.22108930132117 -22.97577757679101, -43.22128276003975 -22.97608237142792, -43.22150773747581 -22.97636824012719, -43.22176206706516 -22.97663242968855, -43.2220432995101 -22.97687239568794, -43.2223487263662 -22.97708582698683, -43.22267540612692 -22.97727066799497, -43.22302019255498 -22.97742513847182, -43.22337976498743 -22.97754775067588, -43.22375066032244 -22.97763732369656, -43.22412930637937 -22.97769299483035, -43.22426375530348 -22.97770441402957, -43.22455540365342 -22.97411716781812))"
014AM019008,1926-01-01,1926-01-01,"POLYGON ((-43.22321725352779 -22.9721925732161, -43.22618572995532 -22.97453157910925, -43.22642044717504 -22.97425242943448, -43.22662431448303 -22.97395344222511, -43.22679536865322 -22.97363749701311, -43.22693196251721 -22.9733076366315, -43.22703278082049 -22.97296703790602, -43.22709685288065 -22.97261898105714, -43.22712356192587 -22.97226681810709, -43.22711265102415 -22.97191394059637, -43.22706422554648 -22.9715637469206, -43.22697875214085 -22.97121960960245, -43.2268570542272 -22.97088484281366, -43.22684337881476 -22.97085302622526, -43.22321725352779 -22.9721925732161))"
014AM019007,1921-01-01,1931-01-01,"POLYGON ((-43.2238708930608 -22.97325745066156, -43.22492683612865 -22.97672087360617, -43.22529047909418 -22.97660890428411, -43.22564044965628 -22.97646465789369, -43.2259733772116 -22.97628952370729, -43.22628605533671 -22.97608518847931, -43.2265754726735 -22.97585362019728, -43.22683884193388 -22.97559704912418, -43.22707362674451 -22.9753179463146, -43.22727756607278 -22.97501899981206, -43.22744869599895 -22.97470308875651, -43.22758536862496 -22.97437325565206, -43.22768626793768 -22.9740326770618, -43.22771571613185 -22.97389756719052, -43.2238708930608 -22.97325745066156))"
014AM019006,1926-01-01,1926-01-01,"POLYGON ((-43.22418582842132 -22.97406724197953, -43.22739387775005 -22.97201380692533, -43.22715981895498 -22.97173419211691, -43.22689712048375 -22.9714770457329, -43.22660831228416 -22.97124484409867, -43.22629617569752 -22.97103982330902, -43.22596371667422 -22.97086395769844, -43.22561413682857 -22.9707189408322, -43.2252508026111 -22.97060616920076, -43.22487721289534 -22.97052672877478, -43.22449696529068 -22.97048138454975, -43.22411372150558 -22.97047057318093, -43.22373117209426 -22.97049439877942, -43.22354988713227 -22.97051793003797, -43.22418582842132 -22.97406724197953))"
014AM019005,1926-01-01,1926-01-01,"POLYGON ((-43.22424612500002 -22.97334856399998, -43.22401150600157 -22.97693935424026, -43.22439492479976 -22.97694323587957, -43.22477691046055 -22.97691249794569, -43.22515378396406 -22.9768474364852, -43.22552191553878 -22.97674867812448, -43.22587775962877 -22.97661717403315, -43.2262178890488 -22.97645419076093, -43.22653902799822 -22.97626129803653, -43.22683808361512 -22.97604035364605, -43.22711217576686 -22.97579348553667, -43.22735866478978 -22.97552307131836, -43.22757517691079 -22.97523171536097, -43.22775484041973 -22.97493125092064, -43.22424612500002 -22.97334856399998))"
014AM019004,1921-01-01,1931-01-01,"POLYGON ((-43.22486978072941 -22.97440462589663, -43.22193458138154 -22.97677901403646, -43.22220149902386 -22.97703245991133, -43.22249411517193 -22.97726059803123, -43.22280961172388 -22.97746123116806, -43.22314495017159 -22.97763242698861, -43.22349690086695 -22.9777725366689, -43.22386207413128 -22.97788021077765, -43.22423695290744 -22.9779544122758, -43.22461792664023 -22.9779944265068, -43.22500132605825 -22.97799986808131, -43.22538345852206 -22.9779706845898, -43.22576064359753 -22.97790715710753, -43.22580672426985 -22.97789695062536, -43.22486978072941 -22.97440462589663))"
