,id,_title,_description,keywords,year,_date,_source,_depicts,_width,_height
0,001AAN005121,Vista do Pão de Açúcar,"O Pão de Açúcar visto da entrada da Barra. \nFotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.","Anônimo,FOTOGRAFIA/ Papel",1910,1905/1915,"<a href=""http://acervos.ims.com.br/portals/#/detailpage/79130>Instituto Moreira Salles</a>","<a href=""http://www.wikidata.org/entity/Q224101>Baía de Guanabara</a>","14,1","8,3"
1,001AAN005122,Ilha Fiscal,"Vista da Ilha Fiscal. \nFotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.","Anônimo,FOTOGRAFIA/ Papel",1910,1908/1909,"<a href=""http://acervos.ims.com.br/portals/#/detailpage/79131>Instituto Moreira Salles</a>",nan,"14,1","8,3"
2,001AAN005123,Ilha das Cobras,"Ilha das Cobras vista da baía. \nFotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.","Anônimo,FOTOGRAFIA/ Papel",1910,1905/1915,"<a href=""http://acervos.ims.com.br/portals/#/detailpage/79132>Instituto Moreira Salles</a>","<a href=""http://www.wikidata.org/entity/Q224101>Baía de Guanabara</a>","14,1","8,3"
3,001AAN005124,Rua Primeiro de Março,"Vista da rua Primeiro de Março, com a igreja do Carmo ao fundo. \nFotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.","Anônimo,FOTOGRAFIA/ Papel",1910,1905/1915,"<a href=""http://acervos.ims.com.br/portals/#/detailpage/79133>Instituto Moreira Salles</a>","<a href=""http://www.wikidata.org/entity/Q2946148>Centro</a>","14,1","8,3"
4,001AAN005125,Quartel Central do Corpo de Bombeiros,"Vista de edificações que compõem o Corpo de Bombeiros. \nFotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.","Anônimo,FOTOGRAFIA/ Papel",1910,1905/1915,"<a href=""http://acervos.ims.com.br/portals/#/detailpage/79134>Instituto Moreira Salles</a>",nan,"14,1","8,3"
5,001AAN005126,Quartel Central do Corpo de Bombeiros,"Aspecto de uma das edificações do Corpo de Bombeiros. \nFotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.","Anônimo,FOTOGRAFIA/ Papel",1910,1905/1915,"<a href=""http://acervos.ims.com.br/portals/#/detailpage/79135>Instituto Moreira Salles</a>",nan,"14,1","8,3"
6,001AAN005127,Quartel Central do Corpo de Bombeiros,"Vista das edificações que compõem o Corpo de Bombeiros. \nFotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.","Anônimo,FOTOGRAFIA/ Papel",1910,1905/1915,"<a href=""http://acervos.ims.com.br/portals/#/detailpage/79136>Instituto Moreira Salles</a>",nan,"14,1","8,3"
7,001AAN005128,Fachada do Teatro Municipal,"Em estilo eclético, o Teatro Municipal foi desenhado por Francisco de Oliveira Passos, engenheiro e  filho do prefeito Pereira Passos. Foi inaugurado em 1909, como parte do conjunto arquitetônico das Obras de Reurbanização da Cidade do Rio de Janeiro, durante a prefeitura de Pereira Passos. \nFotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.","Anônimo,FOTOGRAFIA/ Papel",1910,1905/1915,"<a href=""http://acervos.ims.com.br/portals/#/detailpage/79129>Instituto Moreira Salles</a>","<a href=""http://www.wikidata.org/entity/Q4828121>Avenida Rio Branco</a>","14,1","8,3"
8,001AAN005129,Palácio Monroe,"Fachada do Palácio Monroe, antiga sede do Senado Federal. \nFotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.","Anônimo,FOTOGRAFIA/ Papel",1910,1905/1915,"<a href=""http://acervos.ims.com.br/portals/#/detailpage/79137>Instituto Moreira Salles</a>","<a href=""http://www.wikidata.org/entity/Q4828121>Avenida Rio Branco</a>","14,1","8,3"
9,001AAN005135,"Palácio Amarelo, em primeiro plano o Chafariz da Águia.","Vista do Palácio Municipal, atual prefeitura de Petrópolis. \nFotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.","Anônimo,FOTOGRAFIA/ Papel",1910,1905/1915,"<a href=""http://acervos.ims.com.br/portals/#/detailpage/79138>Instituto Moreira Salles</a>","<a href=""http://www.wikidata.org/entity/Q2946148>Centro</a>","14,1","8,3"
