id,Not in
001AAN005130,"['Camera', 'Portals', 'Wikidata', 'Omeka']"
001AAN005152,"['Camera', 'Portals', 'Wikidata', 'Omeka']"
001AAN005174,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001AAN005175,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001AAN005176,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001AAN005200,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001AAN014010,"['Images', 'Omeka']"
001AAN014011,"['Images', 'Omeka']"
001AAN014013,"['Images', 'Camera', 'Omeka']"
001AAN014015,"['Images', 'Omeka']"
001AAN014016,"['Images', 'Omeka']"
001ACL017001,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001ACL017003,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001ACL017004,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001ACL017005,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001ACL017007,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001ACL017008,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001ACL017009,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001ACL017010,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001ACL017011,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001ACL017012,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001ACL017013,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001ACL017014,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001ACL017015,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001ACL017019,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001ACL017020,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001ACL017021,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001ACL017023,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001ACL017025,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001ACL017028,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001ACL017029,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001ACL017030,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001ACL017031,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001ACL017032,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001ACL017033,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001ACL018001,"['Images', 'Camera', 'Omeka']"
001ACL018002,"['Images', 'Omeka']"
001ACL018003,"['Images', 'Camera', 'Omeka']"
001ACL018004,"['Images', 'Omeka']"
001ACL019001,"['Images', 'Omeka']"
001ACL019003,"['Images', 'Omeka']"
001ACL019004,"['Images', 'Omeka']"
001ACL019005,"['Images', 'Omeka']"
001ACL019007,"['Images', 'Portals', 'Wikidata', 'Omeka']"
001ACL019009,"['Images', 'Omeka']"
001ACL019014,"['Images', 'Omeka']"
001ACL019016,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001ACL019017,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001ACL019018,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001ACL019019,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001ACL019026,"['Images', 'Omeka']"
001ACL019029,"['Images', 'Portals', 'Omeka']"
001ACL019030,"['Images', 'Portals', 'Omeka']"
001ACL019034,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001ACL019037,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001ACL019042,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001ACL019043,"['Images', 'Omeka']"
001ACL019053,"['Images', 'Omeka']"
001ACL019059,"['Images', 'Omeka']"
001ACL019066,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001ACL019069,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001ACL019070,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
001ACL019071,"['Images', 'Camera', 'Portals', 'Wikidata', 'Omeka']"
