dcterms:identifier,dcterms:Title,dcterms:created,dcterms:temporal,dcterms:available,dcterms:creator,dcterms:source,item_sets,media,latitude,longitude,schema:polygon,_iiif
28468080,Rio de Janeiro Urbanism,2020,Not Available,1929/1929,"Le Corbusier (Swiss architect, painter, and theorist, 1887-1965, active in France)",Not Available,all||plans,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/28468080.jpg,0,0,Not Available,<a href =https://images.imaginerio.org/iiif/3/28468080/manifest>Manifest</a>
28468079,Rio de Janeiro Urbanism,2020,Not Available,1936/1936,"Le Corbusier (Swiss architect, painter, and theorist, 1887-1965, active in France)",Not Available,all||plans,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/28468079.jpg,0,0,Not Available,<a href =https://images.imaginerio.org/iiif/3/28468079/manifest>Manifest</a>
28468078,Rio de Janeiro Urbanism,2020,Not Available,1936/1936,"Le Corbusier (Swiss architect, painter, and theorist, 1887-1965, active in France)",Not Available,all||plans,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/28468078.jpg,0,0,Not Available,<a href =https://images.imaginerio.org/iiif/3/28468078/manifest>Manifest</a>
28468077,Rio de Janeiro Urbanism,2020,Not Available,1929/1929,"Le Corbusier (Swiss architect, painter, and theorist, 1887-1965, active in France)",Not Available,all||plans,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/28468077.jpg,0,0,Not Available,<a href =https://images.imaginerio.org/iiif/3/28468077/manifest>Manifest</a>
28267109,Planta Geral - Avenida Presidente Vargas,1940,Not Available,1940/1942,Secretaria Geral de Aviação e Obras,Not Available,all||plans,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/28267109.jpg,0,0,Not Available,<a href =https://images.imaginerio.org/iiif/3/28267109/manifest>Manifest</a>
28218511,Centro de Convenções do RioCentro,1997,Not Available,1997/1997,"Niemeyer, Oscar (Brazilian architect, 1907-2012)",Not Available,all||plans,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/28218511.jpg,0,0,Not Available,<a href =https://images.imaginerio.org/iiif/3/28218511/manifest>Manifest</a>
27826182,Descripção do Porto do Rio de Janeiro e das obras da Doca d'alfandega,1877,Not Available,1877/1882,"Castro, Borja",https://bdlb.bn.gov.br/acervo/handle/20.500.12156.3/270197 Biblioteca Luso-Brasileira Biblioteca Luso-Brasileira,all||plans,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/27826182.jpg,0,0,Not Available,<a href =https://images.imaginerio.org/iiif/3/27826182/manifest>Manifest</a>
27824800,Nivelamento da rua do Catete desde o cais da Glória até a do Príncipe e desta até a praia do Flamengo.,1850,Not Available,1850/1889,"Camelo, José Bernardes",https://www.gov.br/arquivonacional/pt-br Arquivo Nacional Arquivo Nacional,all||plans,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/27824800.jpg,0,0,Not Available,<a href =https://images.imaginerio.org/iiif/3/27824800/manifest>Manifest</a>
27081965,Planta Plaza Marechal Âncora,Not Available,nan/nan,nan/nan,B+ABR - Backheuser e Riera Arquitetura,"https://www.planur-e.es/miscelanea/view/orla-conde-r-o-de-janeiro-pasado-presente-y-futuro Orla Conde (Río de Janeiro): Pasado, Presente y Futuro Orla Conde (Río de Janeiro): Pasado, Presente y Futuro",all||plans,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/27081965.jpg,0,0,Not Available,<a href =https://images.imaginerio.org/iiif/3/27081965/manifest>Manifest</a>
27081964,Planta Paseo Candelária,Not Available,nan/nan,nan/nan,B+ABR - Backheuser e Riera Arquitetura,"https://www.planur-e.es/miscelanea/view/orla-conde-r-o-de-janeiro-pasado-presente-y-futuro Orla Conde (Río de Janeiro): Pasado, Presente y Futuro Orla Conde (Río de Janeiro): Pasado, Presente y Futuro",all||plans,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/27081964.jpg,0,0,Not Available,<a href =https://images.imaginerio.org/iiif/3/27081964/manifest>Manifest</a>
27081963,Planta do Projeto para a Praça Mauá,2016,Not Available,2016/2016,B+ABR - Backheuser e Riera Arquitetura,"https://www.planur-e.es/miscelanea/view/orla-conde-r-o-de-janeiro-pasado-presente-y-futuro Orla Conde (Río de Janeiro): Pasado, Presente y Futuro Orla Conde (Río de Janeiro): Pasado, Presente y Futuro",all||plans,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/27081963.jpg,0,0,"POLYGON ((-4806975.2150000000 -2619462.0022000000, -4808114.3148000000 -2619072.1246000007, -4808118.4685999990 -2619059.7753000000, -4808121.8995999990 -2619047.2060999980, -4808124.5962000005 -2619034.4589999990, -4808126.5495000000 -2619021.5771999992, -4808127.7529000010 -2619008.6037000010, -4808128.2021999990 -2618995.5823000000, -4808127.8960000000 -2618982.5568000004, -4808126.8354000000 -2618969.5709000006, -4808125.0238000010 -2618956.6682999990, -4808122.4674999990 -2618943.8924999980, -4808119.1749000010 -2618931.2862000020, -4808115.1570999995 -2618918.8920000010, -4808110.4277000000 -2618906.7516000010, -4808105.0025999990 -2618894.9056000000, -4808098.9000000000 -2618883.3940999990, -4808092.1403000000 -2618872.2556000017, -4808084.7465000000 -2618861.5276000015, -4808076.7432000000 -2618851.2463000007, -4808068.1575000010 -2618841.4461000003, -4808059.0182000010 -2618832.1600000000, -4808049.3560000010 -2618823.4193000010, -4808039.2034000010 -2618815.2534000017, -4808028.5945000000 -2618807.6895999983, -4808017.5650999990 -2618800.7534999996, -4808006.1521000005 -2618794.4683000000, -4807994.3940999990 -2618788.8552000000, -4806975.2150000000 -2619462.0022000000))",<a href =https://images.imaginerio.org/iiif/3/27081963/manifest>Manifest</a>
