Label:en,Label:pt,Wiki ID
Photographic print,Fotografia em papel,Q56055236
Photomechanical print,Impressão fotomecânica,Q100575647
Glass plate negative,Negativo de vidro,Q85621807
Glass diapositive,Diapositivo de vidro,Q97570383
Autochrome,Autocromo,Q355674
Albumine,Albumina,Q107387614
Silver gelatin,Gelatina de prata,Q172984
Collodion,Colódio,Q904614
Lantern slide,Slide de lanterna mágica,Q87714739
Outros,Outros,Q0000
DIAPOSITIVO flexível / Nitrato,DIAPOSITIVO flexível / Nitrato,Q0000
FOTOGRAFIA,FOTOGRAFIA,Q0000
FOTOGRAFIA/ Vidro,FOTOGRAFIA/ Vidro,Q0000
NEGATIVO flexível,NEGATIVO flexível,Q0000
NEGATIVO/ Papel,NEGATIVO/ Papel,Q0000
Ambrotype,Ambrótipo,Q459832
Collotype print,Colotipia,Q106452651
FOTOGRAFIA INSTANTÂNEA (Polaroid)/ Corante,FOTOGRAFIA INSTANTÂNEA (Polaroid)/ Corante,Q0000
Photogravure,Fotogravura,Q1602553
GELATINA/ Corante,GELATINA/ Corante,Q0000
Halftone,Meio tom,Q1110021
Pigmento,Pigmento,Q0000
Photograph,Fotografia,Q125191
Drawing,Desenho,Q93184
Map,Mapa,Q4006
Floor plan,Planta baixa,Q18965
