Source ID,wikidata_id_url,wikidata_image,wikidata_ims_id,Depicts,Wikidata ID
001AAN005121,http://www.wikidata.org/entity/Q65620090,http://commons.wikimedia.org/wiki/Special:FilePath/Vista%20do%20P%C3%A3o%20de%20A%C3%A7%C3%BAcar%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,http://www.wikidata.org/entity/Q224101 Baía de Guanabara,Q65620090
001AAN005122,http://www.wikidata.org/entity/Q65620091,http://commons.wikimedia.org/wiki/Special:FilePath/Ilha%20Fiscal%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q65620091
001AAN005123,http://www.wikidata.org/entity/Q65620092,http://commons.wikimedia.org/wiki/Special:FilePath/Ilha%20das%20Cobras%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,http://www.wikidata.org/entity/Q224101 Baía de Guanabara,Q65620092
001AAN005124,http://www.wikidata.org/entity/Q65620093,http://commons.wikimedia.org/wiki/Special:FilePath/Rua%20Primeiro%20de%20Mar%C3%A7o%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,http://www.wikidata.org/entity/Q2946148 Centro,Q65620093
001AAN005125,http://www.wikidata.org/entity/Q65620094,http://commons.wikimedia.org/wiki/Special:FilePath/Interior%20do%20Corpo%20de%20Bombeiros%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q65620094
001AAN005126,http://www.wikidata.org/entity/Q65620095,http://commons.wikimedia.org/wiki/Special:FilePath/Interior%20do%20Corpo%20de%20Bombeiros%20%282%29%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q65620095
001AAN005127,http://www.wikidata.org/entity/Q65621321,http://commons.wikimedia.org/wiki/Special:FilePath/Interior%20do%20Corpo%20de%20Bombeiros%203%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q65621321
001AAN005128,http://www.wikidata.org/entity/Q65620097,http://commons.wikimedia.org/wiki/Special:FilePath/Fachada%20do%20Teatro%20Municipal%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,http://www.wikidata.org/entity/Q4828121 Avenida Rio Branco,Q65620097
001AAN005129,http://www.wikidata.org/entity/Q65620098,http://commons.wikimedia.org/wiki/Special:FilePath/Pal%C3%A1cio%20Monroe%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,http://www.wikidata.org/entity/Q4828121 Avenida Rio Branco,Q65620098
001AAN005135,http://www.wikidata.org/entity/Q65620099,http://commons.wikimedia.org/wiki/Special:FilePath/Pal%C3%A1cio%20Municipal%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,http://www.wikidata.org/entity/Q2946148 Centro,Q65620099
001AAN005136,http://www.wikidata.org/entity/Q65620100,http://commons.wikimedia.org/wiki/Special:FilePath/Jardim%20Bot%C3%A2nico%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q65620100
001AAN005137,http://www.wikidata.org/entity/Q65620101,http://commons.wikimedia.org/wiki/Special:FilePath/Jardim%20Bot%C3%A2nico%20%282%29%2C%20Acervo%20do%20Instituto%20Moreira%20Salles.jpg,,,Q65620101
