Source ID,Title,Creator,Description (English),Description (Portuguese),Date,datetime,date_accuracy,First Year,Last Year,Type,Item Set,Source,Materials,Fabrication Method,Rights,License,Attribution,Width (mm),Height (mm),Smapshot ID,preliminary id
001AAN005121,Vista do Pão de Açúcar,Anônimo,-,"O Pão de Açúcar visto da entrada da Barra. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1910-01-01,circa,1905,1915,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Silver gelatin,-,-,,141.0,83.0,,
001AAN005122,Ilha Fiscal,Anônimo,-,"Vista da Ilha Fiscal. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1910-01-01,circa,1908,1909,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Silver gelatin,-,-,,141.0,83.0,,
001AAN005123,Ilha das Cobras,Anônimo,-,"Ilha das Cobras vista da baía. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1910-01-01,circa,1905,1915,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Silver gelatin,-,-,,141.0,83.0,,
001AAN005124,Rua Primeiro de Março,Anônimo,-,"Vista da rua Primeiro de Março, com a igreja do Carmo ao fundo. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1910-01-01,circa,1905,1915,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Silver gelatin,-,-,,141.0,83.0,,
001AAN005125,Quartel Central do Corpo de Bombeiros,Anônimo,-,"Vista de edificações que compõem o Corpo de Bombeiros. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1910-01-01,circa,1905,1915,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Silver gelatin,-,-,,141.0,83.0,,
001AAN005126,Quartel Central do Corpo de Bombeiros,Anônimo,-,"Aspecto de uma das edificações do Corpo de Bombeiros. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1910-01-01,circa,1905,1915,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Silver gelatin,-,-,,141.0,83.0,,
001AAN005127,Quartel Central do Corpo de Bombeiros,Anônimo,-,"Vista das edificações que compõem o Corpo de Bombeiros. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1910-01-01,circa,1905,1915,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Silver gelatin,-,-,,141.0,83.0,,
001AAN005128,Fachada do Teatro Municipal,Anônimo,-,"Em estilo eclético, o Teatro Municipal foi desenhado por Francisco de Oliveira Passos, engenheiro e  filho do prefeito Pereira Passos. Foi inaugurado em 1909, como parte do conjunto arquitetônico das Obras de Reurbanização da Cidade do Rio de Janeiro, durante a prefeitura de Pereira Passos. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1910-01-01,circa,1905,1915,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Silver gelatin,-,-,,141.0,83.0,,
001AAN005129,Palácio Monroe,Anônimo,-,"Fachada do Palácio Monroe, antiga sede do Senado Federal. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1910-01-01,circa,1905,1915,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Silver gelatin,-,-,,141.0,83.0,,
001AAN005130,Ilha de Paquetá,Anônimo,-,"Vista da Ilha de Paquetá. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1910-01-01,circa,1905,1915,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Silver gelatin,-,-,,141.0,83.0,,
001AAN005135,"Palácio Amarelo, em primeiro plano o Chafariz da Águia.",Anônimo,-,"Vista do Palácio Municipal, atual prefeitura de Petrópolis. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1910-01-01,circa,1905,1915,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Silver gelatin,-,-,,141.0,83.0,,
001AAN005136,Jardim Botânico,Anônimo,-,"Vegetação do Jardim Botânico. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1910-01-01,circa,1905,1915,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Silver gelatin,-,-,,141.0,83.0,,
001AAN005137,Jardim Botânico,Anônimo,-,"Aléia de palmeiras no Jardim Botânico. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1910-01-01,circa,1905,1915,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Silver gelatin,-,-,,141.0,83.0,,
001AAN005138,Jardim Botânico,Anônimo,-,"Aléia de palmeiras no Jardim Botânico. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1910-01-01,circa,1905,1915,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Silver gelatin,-,-,,141.0,83.0,,
001AAN005139,Jardim Botânico,Anônimo,-,"Pequena edificação no interior do jardim Botânico. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1910-01-01,circa,1905,1915,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Silver gelatin,-,-,,141.0,83.0,,
001AAN005140,Jardim Botânico,Anônimo,-,"Estátua no interior do Jardim Botânico. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1910-01-01,circa,1905,1915,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Silver gelatin,-,-,,141.0,83.0,,
001AAN005141,Vista do Pão de Açúcar,Anônimo,-,"Pão de Açúcar visto de Santa Tereza. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1910-01-01,circa,1905,1915,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Silver gelatin,-,-,,141.0,83.0,,
001AAN005142,Vista da lagoa Rodrigo de Freitas,Anônimo,-,"Vista a partir da Vista Chinesa, no Alto da Tijuca, com a lagoa Rodrigo de Freitas ao centro, Corcovado à esquerda e, ao fundo, o Pão de Açúcar e a enseada de Botafogo. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1910-01-01,circa,1905,1915,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Silver gelatin,-,-,,141.0,83.0,,
001AAN005143,Vista da lagoa Rodrigo de Freitas,Anônimo,-,"Vista a partir da Vista Chinesa, no Alto da Tijuca, com a lagoa Rodrigo de Freitas ao centro, Corcovado à esquerda e, ao fundo, o Pão de Açúcar e a enseada de Botafogo. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1910-01-01,circa,1905,1915,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Silver gelatin,-,-,,141.0,83.0,,
001AAN005144,Vista de rua comercial,Anônimo,-,"Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1910-01-01,circa,1905,1915,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Silver gelatin,-,-,,141.0,83.0,,
001AAN005145,"Vista da lagoa Rodrigo de Freitas, Ipanema e Leblon.",Anônimo,-,"Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1910-01-01,circa,1905,1915,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Silver gelatin,-,-,,141.0,83.0,,
001AAN005146,Vista da enseada de Botafogo e Pão de Açúcar a partir do Corcovado,Anônimo,-,"Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1910-01-01,circa,1905,1915,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Silver gelatin,-,-,,141.0,83.0,,
001AAN005147,Vista do Pão de Açúcar,Anônimo,-,"O Pão de Açúcar visto da entrada da Baía de Guanabara. À esquerda, a antiga Escola Militar, já reformada, juntamente com outros pavilhões da Exposição de 1908 na praia Vermelha. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1910-01-01,circa,1905,1915,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Silver gelatin,-,-,,141.0,83.0,,
001AAN005148,Entrada da Barra,Anônimo,-,"A entrada da Barra vista da Baía de Guanabara com Corcovado ao fundo. À esquerda, o forte de Santa Cruz. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1910-01-01,circa,1905,1915,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Silver gelatin,-,-,,141.0,83.0,,
001AAN005149,Vista do Pão de Açúcar,Anônimo,-,"O Pão de Açúcar visto da entrada da Baía de Guanabara. À esquerda, a antiga Escola Militar, já reformada, juntamente com outros pavilhões da Exposição de 1908 na praia Vermelha. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1910-01-01,circa,1905,1915,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Silver gelatin,-,-,,141.0,83.0,,
001AAN005150,Baía de Guanabara,Anônimo,-,"Vista da cidade a partir da baía de Guanabara. À direita, Ilha Fiscal, as torres sineiras e a cúpula da igreja da Candelária. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1910-01-01,circa,1905,1915,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Silver gelatin,-,-,,141.0,83.0,,
001AAN005151,Vista do Pão de Açúcar,Anônimo,-,"O Pão de Açúcar visto da entrada da Baía de Guanabara. À esquerda, a antiga Escola Militar, já reformada, juntamente com outros pavilhões da Exposição de 1908 na praia Vermelha. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1910-01-01,circa,1908,1909,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Silver gelatin,-,-,,141.0,83.0,,
001AAN005152,Vista marítima,Anônimo,-,"Vista marítima, com cidade não identificada ao fundo. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1910-01-01,circa,1905,1915,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Silver gelatin,-,-,,141.0,83.0,,
001AAN005174,Coreto,Anônimo,-,"Coreto ao centro de um parque. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1910-01-01,circa,1908,1909,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Silver gelatin,-,-,,141.0,83.0,,
001AAN005175,Jardim em frente a grande edificação,Anônimo,-,"Jardim em frente a uma grande edificação. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1910-01-01,circa,1908,1909,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Silver gelatin,-,-,,141.0,83.0,,
001AAN005176,Jardim em frente a grande edificação,Anônimo,-,"Jardim em frente a uma grande edificação. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1910-01-01,circa,1908,1909,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Silver gelatin,-,-,,141.0,83.0,,
001AAN005200,Paisagem marítima,Anônimo,-,"Paisagem marítima com morros e cidade não identificada. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",1910 circa,1910-01-01,circa,1908,1909,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Silver gelatin,-,-,,141.0,83.0,,
001AAN014010,Entrada da Baía de Guanabara,Marc Ferrez,-,"Entrada externa da baía de Guanabara, vista de Niterói, tendo ao fundo a cadeia montanhosa da cidade.",1880 circa,1880-01-01,circa,1875,1885,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Albumine,-,-,,218.0,150.0,,
001AAN014011,Escola Militar,Marc Ferrez,-,"A Escola Militar tem suas origens relacionadas à Escola Politécnica, antiga Escola Central, localizada no Largo de São Francisco de Paula no prédio erguido especialmente para abrigar uma escola de ensino superior. A Escola Politécnica estava ligada a Academia Real Militar, depois Escola Militar, transferida em 1812 da Casa do Trem para o Largo de São Francisco. Em 1851 passou pela primeira grande reforma, que a dividiu em duas: a Escola Militar propriamente dita e a de Aplicação, instalada provisoriamente na fortaleza de São João. Posteriormente, graças à intervenção do Ministro da Guerra Jerônimo Coelho, a Escola Militar passou a denominar-se Central, dedicada especialmente ao aperfeiçoamento científico dos seus alunos, e a de Aplicação, na Praia Vermelha, transformou-se em 1859 em Militar e de Aplicação. Em 1874, a totalidade do ensino militar passou para a escola da Praia Vermelha.",1880 circa,1880-01-01,circa,1875,1885,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Albumine,-,-,,218.0,150.0,,
001AAN014013,Corcovado - Caminho do Aqueduto,Marc Ferrez,-,"Ao que tudo indica, o caminho apresentado na imagem trata-se da estrada do Silvestre, assim batizada por causa de Silvestre Pires de Carvalho, dono de uma chácara em Santa Teresa adquirida em 1853 pelo governo para um novo reservatório a serviço da água que descia do Rio da Carioca para os chafarizes do Largo de mesmo nome. A chácara ficava no fim da rua do Aqueduto (atual Almirante Alexandrino), lugar da futura estação de trem do Corcovado. É provável que essa estrada seja um dos primeiros caminhos que levavam ao Corcovado.",1886 circa,1886-01-01,circa,1881,1891,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Albumine,-,-,,218.0,150.0,,
001AAN014015,Vista tomada do Morro do Castelo,Marc Ferrez,-,"Vista da praça Dom Pedro II, atual XV de Novembro, e do porto da cidade, a partir do Morro do Castelo.",1885 circa,1885-01-01,circa,1880,1890,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Albumine,-,-,,218.0,150.0,,
001AAN014016,Praça XV de Novembro,Marc Ferrez,-,"A Praça D. Pedro II passou a ser assim chamada no Segundo Reinado. Apesar disso, a área era chamada pela população - até pelo menos o início do século XX -  Largo do Paço, por causa do palácio real, e depois imperial, mandado construir por Gomes Freire (futuro Conde de Bobadela) no século XVIII. Foi inicialmente destinado a ser sede do governo e casa dos governadores. Seus alicerces foram fincados em frente ao convento do Carmo, no lugar antes ocupado pela Casa da Moeda. A praça também já havia sido chamada Largo do Rócio e Terreiro da Polé (porque ali ficava o pelourinho, popularmente chamado polé). Em 1889, com a Proclamação da República, a praça passa definitivamente a chamar-se Praça XV de Novembro. A praça foi remodelada em 1894, ganhando um novo jardim com um monumento em homenagem à memória do General Osório, feita por Rodolfo Bernardelli.",1897,1897-01-01,year,1897,1897,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Albumine,-,-,,218.0,150.0,,
001ACL017001,"Cais Pharoux e adjacências, da Ilha das Cobras",Georges Leuzinger,-,"Vista panorâmica do porto, visto da Ilha das Cobras.
Integra o álbum ""Rio de Janeiro e seus arredores"" formado por 42 fotografias do Rio de Janeiro, de Petrópolis, da Amazônia e 5 reproduções fotográficas de gravuras europeias. É possível que as fotografias da Amazônia, por Albert Frisch e as reproduções de gravuras não sejam parte do álbum original, tendo sido inseridas posteriormente.",1865 circa,1865-01-01,circa,1860,1870,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Albumine,-,-,,240.0,192.0,,
001ACL017002,Largo do Paço visto do morro do Castelo,Georges Leuzinger,-,"Integra o álbum ""Rio de Janeiro e seus arredores"" formado por 42 fotografias do Rio de Janeiro, de Petrópolis, da Amazônia e 5 reproduções fotográficas de gravuras europeias. É possível que as fotografias da Amazônia, por Albert Frisch e as reproduções de gravuras não sejam parte do álbum original, tendo sido inseridas posteriormente.",1865 circa,1865-01-01,circa,1865,1870,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Albumine,-,-,,240.0,192.0,,
001ACL017003,O Palácio Imperial,Georges Leuzinger,-,"Fotografia integra o álbum ""Rio de Janeiro e seus arredores"" formado por 42 fotografias.",1870 circa,1870-01-01,circa,1865,1875,Photograph,All||Views,Instituto Moreira Salles,Photographic print,Albumine,-,-,,240.0,192.0,,
