dcterms:identifier,dcterms:title,dcterms:description,dcterms:creator,dcterms:date,dcterms:available,dcterms:type:en,dcterms:type:pt,dcterms:medium:pt,dcterms:medium:en,dcterms:format:pt,dcterms:format:en,dcterms:rights,dcterms:bibliographicCitation,dcterms:source,dcterms:hasVersion,latitude,longitude,foaf:depicts,schema:width,schema:height,media,item_sets
001AAN005121,Vista do Pão de Açúcar,"O Pão de Açúcar visto da entrada da Barra. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910 circa,1905/1915,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q172984 Gelatina de prata,http://wikidata.org/wiki/Q172984 Silver gelatin,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,-,,http://acervos.ims.com.br/portals/#/detailpage/79130 Instituto Moreira Salles,www.wikidata.org/wiki/Q65620090 Wikidata,-22.94609,-43.14192,http://www.wikidata.org/entity/Q224101 Baía de Guanabara,141,83,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005121.jpg,All||Views||Smapshot
001AAN005122,Ilha Fiscal,"Vista da Ilha Fiscal. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910 circa,1908/1909,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q172984 Gelatina de prata,http://wikidata.org/wiki/Q172984 Silver gelatin,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,-,,http://acervos.ims.com.br/portals/#/detailpage/79131 Instituto Moreira Salles,www.wikidata.org/wiki/Q65620091 Wikidata,-22.89496,-43.16647,,141,83,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005122.jpg,All||Views
001AAN005123,Ilha das Cobras,"Ilha das Cobras vista da baía. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910 circa,1905/1915,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q172984 Gelatina de prata,http://wikidata.org/wiki/Q172984 Silver gelatin,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,-,,http://acervos.ims.com.br/portals/#/detailpage/79132 Instituto Moreira Salles,www.wikidata.org/wiki/Q65620092 Wikidata,-22.89405,-43.166,http://www.wikidata.org/entity/Q224101 Baía de Guanabara,141,83,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005123.jpg,All||Views
001AAN005124,Rua Primeiro de Março,"Vista da rua Primeiro de Março, com a igreja do Carmo ao fundo. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910 circa,1905/1915,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q172984 Gelatina de prata,http://wikidata.org/wiki/Q172984 Silver gelatin,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,-,,http://acervos.ims.com.br/portals/#/detailpage/79133 Instituto Moreira Salles,www.wikidata.org/wiki/Q65620093 Wikidata,-22.90131,-43.17648,http://www.wikidata.org/entity/Q2946148 Centro,141,83,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005124.jpg,All||Views
001AAN005125,Quartel Central do Corpo de Bombeiros,"Vista de edificações que compõem o Corpo de Bombeiros. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910 circa,1905/1915,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q172984 Gelatina de prata,http://wikidata.org/wiki/Q172984 Silver gelatin,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,-,,http://acervos.ims.com.br/portals/#/detailpage/79134 Instituto Moreira Salles,www.wikidata.org/wiki/Q65620094 Wikidata,-22.90944,-43.18734,,141,83,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005125.jpg,All||Views
001AAN005126,Quartel Central do Corpo de Bombeiros,"Aspecto de uma das edificações do Corpo de Bombeiros. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910 circa,1905/1915,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q172984 Gelatina de prata,http://wikidata.org/wiki/Q172984 Silver gelatin,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,-,,http://acervos.ims.com.br/portals/#/detailpage/79135 Instituto Moreira Salles,www.wikidata.org/wiki/Q65620095 Wikidata,-22.90911,-43.18754,,141,83,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005126.jpg,All||Views
001AAN005127,Quartel Central do Corpo de Bombeiros,"Vista das edificações que compõem o Corpo de Bombeiros. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910 circa,1905/1915,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q172984 Gelatina de prata,http://wikidata.org/wiki/Q172984 Silver gelatin,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,-,,http://acervos.ims.com.br/portals/#/detailpage/79136 Instituto Moreira Salles,www.wikidata.org/wiki/Q65621321 Wikidata,-22.90904,-43.18749,,141,83,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005127.jpg,All||Views
001AAN005128,Fachada do Teatro Municipal,"Em estilo eclético, o Teatro Municipal foi desenhado por Francisco de Oliveira Passos, engenheiro e  filho do prefeito Pereira Passos. Foi inaugurado em 1909, como parte do conjunto arquitetônico das Obras de Reurbanização da Cidade do Rio de Janeiro, durante a prefeitura de Pereira Passos. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910 circa,1905/1915,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q172984 Gelatina de prata,http://wikidata.org/wiki/Q172984 Silver gelatin,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,-,,http://acervos.ims.com.br/portals/#/detailpage/79129 Instituto Moreira Salles,www.wikidata.org/wiki/Q65620097 Wikidata,-22.90958,-43.1762,http://www.wikidata.org/entity/Q4828121 Avenida Rio Branco,141,83,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005128.jpg,All||Views
001AAN005129,Palácio Monroe,"Fachada do Palácio Monroe, antiga sede do Senado Federal. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910 circa,1905/1915,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q172984 Gelatina de prata,http://wikidata.org/wiki/Q172984 Silver gelatin,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,-,,http://acervos.ims.com.br/portals/#/detailpage/79137 Instituto Moreira Salles,www.wikidata.org/wiki/Q65620098 Wikidata,-22.91158,-43.17545,http://www.wikidata.org/entity/Q4828121 Avenida Rio Branco,141,83,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005129.jpg,All||Views
001AAN005135,"Palácio Amarelo, em primeiro plano o Chafariz da Águia.","Vista do Palácio Municipal, atual prefeitura de Petrópolis. 
Fotografia integra ""Álbum de amador navegante "", formado por 200 fotografias, que retratam uma viagem de navio pelo Brasil e por outros países da América do Sul e Central.",Anônimo,1910 circa,1905/1915,http://wikidata.org/wiki/Q125191 Photograph,http://wikidata.org/wiki/Q125191 Fotografia,http://wikidata.org/wiki/Q172984 Gelatina de prata,http://wikidata.org/wiki/Q172984 Silver gelatin,http://wikidata.org/wiki/Q56055236 Fotografia em papel,http://wikidata.org/wiki/Q56055236 Photographic print,-,,http://acervos.ims.com.br/portals/#/detailpage/79138 Instituto Moreira Salles,www.wikidata.org/wiki/Q65620099 Wikidata,-22.50784,-43.17667,http://www.wikidata.org/entity/Q2946148 Centro,141,83,https://rioiconography.sfo2.digitaloceanspaces.com/situatedviews/001AAN005135.jpg,All||Views
