,id,title,description,creator,date,start_date,end_date,type,fabrication_method,dimensions,place,accurate_date,image_width,image_height
0,P009MF047,"Praça Duque de Caxias, atual Largo do Machado. Ao fundo Igreja de Nossa Senhora da Glória",,Marc Ferrez,,1875-01-01,1885-01-01,FOTOGRAFIA/ Papel,ALBUMINA/ Prata,"i: 15,0 x 22,2 cm; sp: 16,0 x 22,2 cm",Largo do Machado,False,"22,2","15,0"
1,P009MF005,Pão de Açúcar visto de Niterói,,Marc Ferrez,,1885-01-01,1895-01-01,FOTOGRAFIA/ Papel,ALBUMINA/ Prata,"i: 18,6 x 25,0 cm;  ss: 27,3 x 32,2 cm",,False,"25,0","18,6"
2,P002SAm52-0047,Igreja de Santa Luzia,"A capela de Santa Luzia foi uma da primeiras a serem construídas no Rio, datando de 1592. Entre 1752 e 1817 sofreu diversas modificações, mas data somente de 1872 a construção da segunda torre. Leuzinger tirou esta foto do mesmo lugar que o aquarelista alemão E. Hildebrandt a pintou em 1844. Atualmente, a praia de Santa Luzia está aterrada.",Georges Leuzinger,,1860-01-01,1870-01-01,FOTOGRAFIA/ Papel,ALBUMINA/ Prata,"i: 15,0 x 20,8 cm",Centro,False,"20,8","15,0"
3,IMG_0794,,,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
4,IMG_0791,,Partes do negativo quebrado foram capturadas separadamente com os códigos IMG_0791.jpg e IMG_0794.jpg,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
5,IMG_0790,À direita a Biblioteca Nacional,À direita a Biblioteca Nacional. Quebrado,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,Morro do Castelo,False,,
6,IMG_0789,,Partes do negativo quebrado foram capturadas separadamente com os códigos IMG_0789.jpg e IMG_0793.jpg,,,,,NEGATIVO/ Vidro,GELATINA/ Prata,,,False,,
7,IMG_0787,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
8,IMG_0786,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
9,IMG_0785,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
10,IMG_0784,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,Morro do Castelo,False,,
11,IMG_0783,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
12,IMG_0782,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
13,IMG_0781,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
14,IMG_0780,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
15,IMG_0779,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
16,IMG_0778,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
17,IMG_0777,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
18,IMG_0775,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,Morro do Castelo,False,,
19,IMG_0774,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
20,IMG_0773,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
21,IMG_0772,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
22,IMG_0770,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
23,IMG_0769,,Avenida Rio Branco - Edifício Jornal do Comércio - Companhia Adriática de Seguros,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
24,IMG_0767,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
25,IMG_0766,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
26,IMG_0765,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
27,IMG_0762,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
28,IMG_0761,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
29,IMG_0760,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
30,IMG_0759,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
31,IMG_0757,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
32,IMG_0756,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
33,IMG_0754,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
34,IMG_0753,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
35,IMG_0752,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
36,IMG_0751,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
37,IMG_0750,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
38,IMG_0749,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
39,IMG_0747,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
40,IMG_0745,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
41,IMG_0744,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
42,IMG_0743,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
43,IMG_0737,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
44,IMG_0735,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
45,IMG_0733,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
46,IMG_0730,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
47,IMG_0729,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
48,IMG_0727,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
49,IMG_0724,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
50,IMG_0722,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
51,IMG_0721,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
52,IMG_0720,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
53,IMG_0719,,Interior de igreja,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
54,IMG_0715,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
55,IMG_0711,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
56,IMG_0710,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
57,IMG_0709,,,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,Morro do Castelo,False,,
58,IMG_0705,,Avião biplano,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
59,IMG_0700,Teatro João Caetano,Teatro João Caetano,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,Praça Tiradentes,False,,
60,IMG_0695,Concurso de beleza,Concurso de beleza,,,,,FOTOGRAFIA/ Papel,GELATINA/ Prata,,,False,,
61,IMG_0658,Washignton Luis,,,,,,NEGATIVO flexível,GELATINA/ Prata,,,False,,
62,IMG_0657,Washignton Luis,,,,,,NEGATIVO flexível,GELATINA/ Prata,,,False,,
63,IMG_0656,Washignton Luis,,,,,,NEGATIVO flexível,GELATINA/ Prata,,,False,,
64,IMG_0655,,Morro do Castelo,,,,,NEGATIVO flexível,GELATINA/ Prata,,Morro do Castelo,False,,
