id,first_year,last_year,geometry
001AAN005121,1905,1915,"POLYGON ((-43.14191969918544 -22.94609248078273, -43.14504121906694 -22.94825527942046, -43.1452563949731 -22.94796311267899, -43.14543943534655 -22.94765293081571, -43.14558857756795 -22.94732772116479, -43.14570238552057 -22.94699061576963, -43.1457797634131 -22.94664486121601, -43.14581996632337 -22.94629378736263, -43.14582260736206 -22.94594077527074, -43.14578766138757 -22.94558922464162, -43.14571546523699 -22.94524252107549, -43.14568505319786 -22.9451346597135, -43.14191969918544 -22.94609248078273))"
001AAN005122,1908,1909,"POLYGON ((-43.16647436199141 -22.89495670882753, -43.16458725886067 -22.89810604885123, -43.16493144059855 -22.89826128017494, -43.1652904825953 -22.89838468596813, -43.16566092685939 -22.89847507767738, -43.16603920555606 -22.89853158471445, -43.16642167537734 -22.89855366284312, -43.16680465263975 -22.89854109942217, -43.16718444877132 -22.89849401545376, -43.16755740584578 -22.89841286441785, -43.1679199318212 -22.89829842790352, -43.16804221935608 -22.89825130494085, -43.16647436199141 -22.89495670882753))"
001AAN005123,1905,1915,"POLYGON ((-43.16600408229873 -22.89405369728067, -43.16898960814461 -22.89637235516296, -43.16922193451406 -22.89609160936299, -43.16942326981565 -22.89579123737197, -43.1695916752113 -22.89547413205674, -43.16972552904439 -22.8951433474211, -43.16982354245032 -22.89480206919002, -43.16988477176044 -22.89445358412601, -43.16990862758038 -22.89410124837318, -43.16990892418215 -22.89407079925337, -43.16600408229873 -22.89405369728067))"
001AAN005124,1905,1915,"POLYGON ((-43.17648284623865 -22.90131225315465, -43.17319255907687 -22.90324977656936, -43.17341456357111 -22.90353753047307, -43.17366611875456 -22.90380385367128, -43.17394480205376 -22.90404618119262, -43.17424792957938 -22.90426217915613, -43.1745725819742 -22.90444976725301, -43.1749156325309 -22.90460713878608, -43.17527377730894 -22.90473277807394, -43.17564356695996 -22.904825475052, -43.17598592723779 -22.9048802924232, -43.17648284623865 -22.90131225315465))"
001AAN005125,1905,1915,"POLYGON ((-43.18734464573042 -22.90943721615889, -43.18711810979001 -22.91302844061148, -43.18750135538852 -22.9130316003758, -43.18788309166768 -22.91300014334034, -43.18825964201056 -22.9129343724775, -43.18862737975925 -22.91283492124596, -43.18898276315213 -22.91270274748828, -43.1893223694423 -22.91253912420356, -43.18964292786873 -22.91234562728415, -43.18982903684009 -22.9122127610594, -43.18734464573042 -22.90943721615889))"
001AAN005126,1905,1915,"POLYGON ((-43.18754118085375 -22.9091139525844, -43.18765818898061 -22.91270961912553, -43.18804025199996 -22.91268174036878, -43.18841750831305 -22.91261950097071, -43.18878632446103 -22.91252350037751, -43.18914314829351 -22.91239466319789, -43.1894845431873 -22.91223423029589, -43.18980722115128 -22.91204374683712, -43.19010807449808 -22.91182504740387, -43.19038420577754 -22.91158023832224, -43.19060674585379 -22.91134261184217, -43.18754118085375 -22.9091139525844))"
001AAN005127,1905,1915,"POLYGON ((-43.18748824299995 -22.909038109, -43.18633794467153 -22.91247580870111, -43.18670929975991 -22.91256311059346, -43.18708815708084 -22.91261646393114, -43.18747086775203 -22.91263535485208, -43.18785374576963 -22.91261960141197, -43.18823310351765 -22.91256935533709, -43.18860528729292 -22.91248510056256, -43.188966712503 -22.91236764857036, -43.18931389819779 -22.91221813057194, -43.18931931895554 -22.91221548511252, -43.18748824299995 -22.909038109))"
001AAN005128,1905,1915,"POLYGON ((-43.17619552403403 -22.90958470632688, -43.17958140800762 -22.90779212395713, -43.17937435331572 -22.90749505927995, -43.17913668617109 -22.9072181190397, -43.17887069550576 -22.90696397019124, -43.1785789429659 -22.90673506019229, -43.17826423824143 -22.90653359343829, -43.1779296120089 -22.90636151003798, -43.17757828674836 -22.90622046713391, -43.17721364571504 -22.90611182294768, -43.17696287902273 -22.90605755201889, -43.17619552403403 -22.90958470632688))"
001AAN005129,1905,1915,"POLYGON ((-43.17545030199999 -22.91158308900002, -43.1737301729493 -22.91481265541733, -43.17408212938922 -22.91495240438471, -43.17444726305873 -22.91505970425466, -43.17482205728249 -22.91513352159269, -43.17520290232023 -22.91517314544241, -43.17558613014085 -22.91517819417442, -43.17596804975846 -22.9151486191628, -43.17634498278989 -22.9150847052536, -43.17671329889061 -22.91498706802067, -43.1770694507274 -22.91485664783559, -43.17714137517817 -22.91482564829051, -43.17545030199999 -22.91158308900002))"
001AAN005135,1905,1915,"POLYGON ((-43.17666811478765 -22.50783609599084, -43.17981599796749 -22.50995352778938, -43.18002549696137 -22.50965828813686, -43.18020266125536 -22.50934549988061, -43.18034578482352 -22.50901817545105, -43.18045348951345 -22.50867946725311, -43.18052473831064 -22.50833263730332, -43.18055884531632 -22.50798102581209, -43.18056200393539 -22.50783854441005, -43.17666811478765 -22.50783609599084))"
