0
Marc Ferrez
Georges Leuzinger
""
José dos Santos Affonso
Anônimo
Augusto Stahl
Juan Gutierrez
Augusto Malta
Theodor Preising
S. H. Holland
Augusto Monteiro
Stahl & Wahnschaffe
Jorge Kfuri
Camillo Vedani
Revert Henrique Klumb
Fritz Büsch
Armando Pittigliani
Braz
Carlos Bippus
Thiele
Gomes Junior
A. Ruelle
Guilherme Santos
Albert Frisch
José Baptista Barreira Vianna
Alfredo Krausz
Therezio Mascarenhas
Torres
Luiz Musso
N. Viggiani
F. Manzière
Antonio Luiz Ferreira
Etienne Farnier
José Francisco Corrêa
J. Teixeira
Chapelin
F. Garcia
A. de Barros Lobo
Bloch
F. Basto
J. Faria de Azevedo
Archanjo Sobrinho
