qid,P31,Lpt-br,Dpt-br,P571,P17,P1259,P170,P186,P195,P217,P2079,P4036,P2049,P2048,P7835
,,Vista do Pão de Açúcar,Fotografia de Anônimo,,Q155,-22.946092/-43.14192,Q4233718,Q11472,Q71989864,001AAN005121,Q172984,52.4 degree,14.1 centimetre,8.3 centimetre,79130
,,Ilha Fiscal,Fotografia de Anônimo,,Q155,-22.894957/-43.166474,Q4233718,Q11472,Q71989864,001AAN005122,Q172984,52.6 degree,14.1 centimetre,8.3 centimetre,79131
,,Ilha das Cobras,Fotografia de Anônimo,,Q155,-22.894054/-43.166004,Q4233718,Q11472,Q71989864,001AAN005123,Q172984,39.8 degree,14.1 centimetre,8.3 centimetre,79132
,,Rua Primeiro de Março,Fotografia de Anônimo,,Q155,-22.901312/-43.17648300000001,Q4233718,Q11472,Q71989864,001AAN005124,Q172984,50.2 degree,14.1 centimetre,8.3 centimetre,79133
,,Quartel Central do Corpo de Bombeiros,Fotografia de Anônimo,,Q155,-22.909437/-43.187345,Q4233718,Q11472,Q71989864,001AAN005125,Q172984,42.8 degree,14.1 centimetre,8.3 centimetre,79134
,,Quartel Central do Corpo de Bombeiros,Fotografia de Anônimo,,Q155,-22.909114/-43.187541,Q4233718,Q11472,Q71989864,001AAN005126,Q172984,50.0 degree,14.1 centimetre,8.3 centimetre,79135
,,Quartel Central do Corpo de Bombeiros,Fotografia de Anônimo,,Q155,-22.909038/-43.187488,Q4233718,Q11472,Q71989864,001AAN005127,Q172984,45.0 degree,14.1 centimetre,8.3 centimetre,79136
,,Fachada do Teatro Municipal,Fotografia de Anônimo,,Q155,-22.909585/-43.176196,Q4233718,Q11472,Q71989864,001AAN005128,Q172984,48.8 degree,14.1 centimetre,8.3 centimetre,79129
,,Palácio Monroe,Fotografia de Anônimo,,Q155,-22.911583/-43.17545,Q4233718,Q11472,Q71989864,001AAN005129,Q172984,51.8 degree,14.1 centimetre,8.3 centimetre,79137
,,"Palácio Amarelo, em primeiro plano o Chafariz da Águia.",Fotografia de Anônimo,,Q155,-22.507836/-43.176668,Q4233718,Q11472,Q71989864,001AAN005135,Q172984,36.0 degree,14.1 centimetre,8.3 centimetre,79138
,,Jardim Botânico,Fotografia de Anônimo,,Q155,-22.96883/-43.221667,Q4233718,Q11472,Q71989864,001AAN005136,Q172984,50.0 degree,14.1 centimetre,8.3 centimetre,79139
,,Jardim Botânico,Fotografia de Anônimo,,Q155,-22.968654/-43.222232,Q4233718,Q11472,Q71989864,001AAN005137,Q172984,50.0 degree,14.1 centimetre,8.3 centimetre,79140
,,Jardim Botânico,Fotografia de Anônimo,,Q155,-22.969067000000006/-43.22216,Q4233718,Q11472,Q71989864,001AAN005138,Q172984,40.0 degree,14.1 centimetre,8.3 centimetre,79141
,,Jardim Botânico,Fotografia de Anônimo,,Q155,-22.965818/-43.226557,Q4233718,Q11472,Q71989864,001AAN005139,Q172984,50.0 degree,14.1 centimetre,8.3 centimetre,79142
,,Jardim Botânico,Fotografia de Anônimo,,Q155,-22.966746/-43.223204,Q4233718,Q11472,Q71989864,001AAN005140,Q172984,50.0 degree,14.1 centimetre,8.3 centimetre,79143
,,Vista do Pão de Açúcar,Fotografia de Anônimo,,Q155,-22.93731/-43.203232,Q4233718,Q11472,Q71989864,001AAN005141,Q172984,43.2 degree,14.1 centimetre,8.3 centimetre,79144
,,Vista da lagoa Rodrigo de Freitas,Fotografia de Anônimo,,Q155,-22.973211/-43.249181,Q4233718,Q11472,Q71989864,001AAN005142,Q172984,43.6 degree,14.1 centimetre,8.3 centimetre,79145
,,Vista da lagoa Rodrigo de Freitas,Fotografia de Anônimo,,Q155,-22.969616/-43.255749,Q4233718,Q11472,Q71989864,001AAN005143,Q172984,46.8 degree,14.1 centimetre,8.3 centimetre,79171
,,Vista de rua comercial,Fotografia de Anônimo,,Q155,-22.903888/-43.178578,Q4233718,Q11472,Q71989864,001AAN005144,Q172984,50.0 degree,14.1 centimetre,8.3 centimetre,79146
,,"Vista da lagoa Rodrigo de Freitas, Ipanema e Leblon.",Fotografia de Anônimo,,Q155,-22.973679/-43.250096,Q4233718,Q11472,Q71989864,001AAN005145,Q172984,42.4 degree,14.1 centimetre,8.3 centimetre,79147
,,Vista da enseada de Botafogo e Pão de Açúcar a partir do Corcovado,Fotografia de Anônimo,,Q155,-22.951872/-43.210458,Q4233718,Q11472,Q71989864,001AAN005146,Q172984,43.4 degree,14.1 centimetre,8.3 centimetre,79148
,,Vista do Pão de Açúcar,Fotografia de Anônimo,,Q155,-22.948836/-43.136688,Q4233718,Q11472,Q71989864,001AAN005147,Q172984,44.4 degree,14.1 centimetre,8.3 centimetre,79172
,,Entrada da Barra,Fotografia de Anônimo,,Q155,-22.931038/-43.139699,Q4233718,Q11472,Q71989864,001AAN005148,Q172984,42.4 degree,14.1 centimetre,8.3 centimetre,79149
,,Vista do Pão de Açúcar,Fotografia de Anônimo,,Q155,-22.95204/-43.133404,Q4233718,Q11472,Q71989864,001AAN005149,Q172984,43.2 degree,14.1 centimetre,8.3 centimetre,79173
,,Baía de Guanabara,Fotografia de Anônimo,,Q155,-22.890441/-43.153183,Q4233718,Q11472,Q71989864,001AAN005150,Q172984,42.8 degree,14.1 centimetre,8.3 centimetre,79150
,,Vista do Pão de Açúcar,Fotografia de Anônimo,,Q155,-22.95533/-43.128525,Q4233718,Q11472,Q71989864,001AAN005151,Q172984,38.8 degree,14.1 centimetre,8.3 centimetre,79151
