id,wikidata_id,wikidata_ims_id,wikidata_image,wikidata_depict
001AAN005121,http://www.wikidata.org/entity/Q65620090,nan,nan,http://www.wikidata.org/entity/Q224101 Baía de Guanabara
001AAN005122,http://www.wikidata.org/entity/Q65620091,nan,nan,nan
001AAN005123,http://www.wikidata.org/entity/Q65620092,nan,nan,http://www.wikidata.org/entity/Q224101 Baía de Guanabara
001AAN005124,http://www.wikidata.org/entity/Q65620093,nan,nan,http://www.wikidata.org/entity/Q2946148 Centro
001AAN005125,http://www.wikidata.org/entity/Q65620094,nan,nan,nan
001AAN005126,http://www.wikidata.org/entity/Q65620095,nan,nan,nan
001AAN005127,http://www.wikidata.org/entity/Q65621321,nan,nan,nan
001AAN005128,http://www.wikidata.org/entity/Q65620097,nan,nan,http://www.wikidata.org/entity/Q4828121 Avenida Rio Branco
001AAN005129,http://www.wikidata.org/entity/Q65620098,nan,nan,http://www.wikidata.org/entity/Q4828121 Avenida Rio Branco
001AAN005130,http://www.wikidata.org/entity/Q97696331,nan,nan,nan
001AAN005135,http://www.wikidata.org/entity/Q65620099,nan,nan,http://www.wikidata.org/entity/Q2946148 Centro
001AAN005136,http://www.wikidata.org/entity/Q65620100,nan,nan,nan
001AAN005137,http://www.wikidata.org/entity/Q65620101,nan,nan,nan
001AAN005138,http://www.wikidata.org/entity/Q65621322,nan,nan,nan
001AAN005139,http://www.wikidata.org/entity/Q65621323,nan,nan,nan
001AAN005140,http://www.wikidata.org/entity/Q65621324,nan,nan,nan
001AAN005141,http://www.wikidata.org/entity/Q65621654,nan,nan,nan
001AAN005142,http://www.wikidata.org/entity/Q65620106,nan,nan,nan
001AAN005143,http://www.wikidata.org/entity/Q65620107,nan,nan,nan
001AAN005144,http://www.wikidata.org/entity/Q65620108,nan,nan,http://www.wikidata.org/entity/Q2946148 Centro
001AAN005145,http://www.wikidata.org/entity/Q65620109,nan,nan,nan
001AAN005146,http://www.wikidata.org/entity/Q65620110,nan,nan,nan
001AAN005147,http://www.wikidata.org/entity/Q65620111,nan,nan,http://www.wikidata.org/entity/Q224101 Baía de Guanabara
001AAN005148,http://www.wikidata.org/entity/Q65620112,nan,nan,http://www.wikidata.org/entity/Q224101 Baía de Guanabara
001AAN005149,http://www.wikidata.org/entity/Q65621326,nan,nan,http://www.wikidata.org/entity/Q224101 Baía de Guanabara
001AAN005150,http://www.wikidata.org/entity/Q65620114,nan,nan,nan
001AAN005151,http://www.wikidata.org/entity/Q65621327,nan,nan,http://www.wikidata.org/entity/Q224101 Baía de Guanabara
001AAN005152,http://www.wikidata.org/entity/Q97700006,nan,nan,nan
001AAN005174,http://www.wikidata.org/entity/Q97695818,nan,nan,nan
001AAN005175,http://www.wikidata.org/entity/Q97696445,nan,nan,nan
001AAN005176,http://www.wikidata.org/entity/Q97696446,nan,nan,nan
001AAN005200,http://www.wikidata.org/entity/Q97696764,nan,nan,nan
001AAN014010,http://www.wikidata.org/entity/Q65620116,nan,nan,nan
001AAN014011,http://www.wikidata.org/entity/Q65620117,nan,nan,http://www.wikidata.org/entity/Q203325 Praia Vermelha
001AAN014012,http://www.wikidata.org/entity/Q65620118,nan,nan,http://www.wikidata.org/entity/Q10352795 Praia de Icaraí
001AAN014013,http://www.wikidata.org/entity/Q97695806,nan,nan,nan
001AAN014015,http://www.wikidata.org/entity/Q97700036,nan,nan,nan
001AAN014016,http://www.wikidata.org/entity/Q65620358,nan,nan,http://www.wikidata.org/entity/Q2946148 Centro
001ACL017001,http://www.wikidata.org/entity/Q97695420,nan,nan,nan
001ACL017002,http://www.wikidata.org/entity/Q64214710,nan,nan,http://www.wikidata.org/entity/Q2942273 Igreja de Nossa Senhora do Monte do Carmo||http://www.wikidata.org/entity/Q4902626 Convento do Carmo||http://www.wikidata.org/entity/Q64578365 Igreja de São José||http://www.wikidata.org/entity/Q10353359 Praça XV de Novembro||http://www.wikidata.org/entity/Q10300293 Church of the Order Terceira do Carmo||http://www.wikidata.org/entity/Q2820360 Mosteiro de São Bento||http://www.wikidata.org/entity/Q63413731 Hotel de France||http://www.wikidata.org/entity/Q64364849 Praia do Peixe||http://www.wikidata.org/entity/Q9627844 Arco do Teles||http://www.wikidata.org/entity/Q3361206 Paço Imperial||http://www.wikidata.org/entity/Q56641197 Chafariz do Mestre Valentim||http://www.wikidata.org/entity/Q5997836 Ilha das Cobras||http://www.wikidata.org/entity/Q64355145 Mercado Novo||http://www.wikidata.org/entity/Q64363860 Alfândega do Rio de Janeiro
001ACL017003,http://www.wikidata.org/entity/Q97696701,nan,nan,nan
001ACL017004,http://www.wikidata.org/entity/Q97697015,nan,nan,nan
001ACL017005,http://www.wikidata.org/entity/Q97695556,nan,nan,nan
001ACL017006,http://www.wikidata.org/entity/Q65620119,nan,nan,http://www.wikidata.org/entity/Q12117134 Largo São Francisco
001ACL017007,http://www.wikidata.org/entity/Q97696914,nan,nan,nan
001ACL017008,http://www.wikidata.org/entity/Q97695413,nan,nan,nan
001ACL017009,http://www.wikidata.org/entity/Q97697369,nan,nan,nan
001ACL017010,http://www.wikidata.org/entity/Q97695410,nan,nan,nan
001ACL017011,http://www.wikidata.org/entity/Q97696326,nan,nan,nan
001ACL017012,http://www.wikidata.org/entity/Q97696967,nan,nan,nan
001ACL017013,http://www.wikidata.org/entity/Q97673310,nan,nan,nan
001ACL017014,http://www.wikidata.org/entity/Q97696654,nan,nan,nan
001ACL017015,http://www.wikidata.org/entity/Q97697016,nan,nan,nan
001ACL017018,http://www.wikidata.org/entity/Q65620120,nan,nan,nan
001ACL017019,http://www.wikidata.org/entity/Q97695915,nan,nan,nan
001ACL017020,http://www.wikidata.org/entity/Q97695535,nan,nan,nan
001ACL017021,http://www.wikidata.org/entity/Q97695219,nan,nan,nan
001ACL017022,http://www.wikidata.org/entity/Q65620121,nan,nan,http://www.wikidata.org/entity/Q14942956 Tijuca Forest
001ACL017023,http://www.wikidata.org/entity/Q97696259,nan,nan,nan
001ACL017025,http://www.wikidata.org/entity/Q97699709,nan,nan,nan
001ACL017028,http://www.wikidata.org/entity/Q97697280,nan,nan,nan
001ACL017029,http://www.wikidata.org/entity/Q97697073,nan,nan,nan
001ACL017030,http://www.wikidata.org/entity/Q97695534,nan,nan,nan
001ACL017031,http://www.wikidata.org/entity/Q97696503,nan,nan,nan
